country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
United Arab Emirates,248.0,333.0,333.0,405.0,468.0,468.0,611.0,664.0,664.0,1024.0,1024.0,1505.0,1799.0,2076.0,2359.0,2659.0,2990.0,3360.0,3736.0,4123.0,4521.0,4933.0,5365.0,5825.0,5825.0,6302.0,6781.0,7265.0,7755.0,8238.0,8756.0,9281.0,9813.0,10349.0,10839.0,11380.0,11929.0,12481.0,13038.0,13599.0,14163.0,14730.0,15192.0,15738.0,16240.0,16793.0,17417.0,18198.0,18878.0,19661.0,20386.0,21084.0,21831.0,22627.0,23358.0,24190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,246.0,361.0,504.0,655.0,860.0,1016.0,1332.0,1646.0,2196.0,2649.0,3024.0,3631.0,4486.0,5282.0,5888.0,7029.0,7697.0,8291.0,8813.0,9618.0,10182.0,10711.0,11129.0,11525.0,11766.0,11983.0,12297.0,12640.0,12969.0,13248.0,13560.0,13807.0,13937.0,14043.0,14234.0,14370.0,14448.0,14603.0,14662.0,14710.0,14783.0,14833.0,14924.0,14985.0,15068.0,15134.0,15189.0,15256.0,15314.0,15364.0,15424.0,15458.0,15470.0,15538.0,15569.0,15586.0,15651.0,15673.0,15735.0,15777.0,15787.0,15874.0,15910.0,15964.0,16005.0,16068.0,16140.0,16154.0,16179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,200.0,239.0,267.0,314.0,399.0,559.0,689.0,886.0,1085.0,1243.0,1486.0,1795.0,2257.0,2815.0,3401.0,3743.0,4269.0,4937.0,6235.0,7284.0,9134.0,10836.0,11899.0,12775.0,13964.0,15348.0,16770.0,18431.0,19691.0,20814.0,22194.0,23403.0,24983.0,26667.0,28018.0,29647.0,30589.0,31119.0,33573.0,34809.0,36138.0,37183.0,38496.0,39983.0,40956.0,41889.0,42797.0,44293.0,45325.0,46134.0,46687.0,47334.0,47859.0,48519.0,49032.0,49517.0,49906.0,50267.0,50509.0,50781.0,51420.0,52011.0,52596.0,53081.0,53449.0,53779.0,53981.0,54288.0,54644.0,54989.0,55280.0,55559.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,218.0,330.0,424.0,482.0,621.0,803.0,1012.0,1231.0,1572.0,1838.0,2144.0,2456.0,2948.0,3382.0,3772.0,4186.0,4689.0,4998.0,5416.0,5913.0,6462.0,7103.0,7667.0,8238.0,8790.0,9455.0,10143.0,10929.0,11719.0,12425.0,13134.0,13770.0,14657.0,15691.0,16660.0,17822.0,18863.0,20065.0,20995.0,22268.0,23870.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,254.0,351.0,394.0,564.0,700.0,861.0,1066.0,1486.0,1981.0,2226.0,2578.0,2919.0,3281.0,3728.0,4204.0,4779.0,4779.0,4779.0,6264.0,6723.0,7281.0,8022.0,8773.0,9590.0,10463.0,11289.0,12208.0,13181.0,14027.0,14917.0,15828.0,16705.0,17489.0,18350.0,19255.0,20168.0,21101.0,22052.0,22973.0,23906.0,24873.0,25825.0,26772.0,27730.0,28681.0,29650.0,30572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,200.0,234.0,291.0,428.0,621.0,904.0,1128.0,1546.0,1891.0,2201.0,2433.0,2915.0,3417.0,3904.0,4256.0,4579.0,5717.0,6836.0,7910.0,9056.0,10278.0,11130.0,12056.0,13717.0,15927.0,17857.0,19638.0,20727.0,22169.0,23430.0,25262.0,28320.0,30425.0,33682.0,36599.0,38654.0,40581.0,43079.0,45757.0,49492.0,52995.0,58509.0,61888.0,66501.0,71886.0,78162.0,85380.0,91589.0,96559.0,101147.0,107780.0,114715.0,125218.0,135106.0,145328.0,155939.0,162699.0,168331.0,177589.0,188974.0,202918.0,218223.0,233142.0,241080.0,254220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada,244.0,304.0,424.0,569.0,690.0,846.0,971.0,1302.0,1430.0,1646.0,1959.0,3385.0,4018.0,4675.0,5386.0,6255.0,7424.0,8536.0,9595.0,11268.0,12519.0,13882.0,15496.0,16653.0,17883.0,19274.0,20748.0,22133.0,23301.0,24365.0,25663.0,27046.0,28364.0,30081.0,31872.0,33341.0,34777.0,36823.0,38413.0,40179.0,42099.0,43877.0,45341.0,46884.0,48489.0,50015.0,51587.0,53236.0,55061.0,56714.0,59474.0,60772.0,62046.0,63496.0,64922.0,66434.0,67702.0,68848.0,69981.0,71157.0,72278.0,73401.0,74602.0,75853.0,76991.0,78061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,209.0,264.0,332.0,374.0,490.0,642.0,854.0,1121.0,1359.0,2200.0,2200.0,2650.0,3010.0,3888.0,4840.0,6077.0,6971.0,8015.0,8789.0,9714.0,10714.0,12104.0,13152.0,14274.0,15412.0,16108.0,17070.0,18194.0,19227.0,20201.0,21022.0,21574.0,22164.0,22710.0,23495.0,24228.0,24820.0,25220.0,25499.0,25753.0,26336.0,26651.0,26997.0,27322.0,27658.0,27826.0,27981.0,28186.0,28414.0,28595.0,28811.0,28978.0,29081.0,29181.0,29324.0,29503.0,29622.0,29734.0,29822.0,29898.0,29926.0,29977.0,30043.0,30124.0,30168.0,30222.0,30261.0,30297.0,30330.0,30380.0,30431.0,30489.0,30504.0,30514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,201.0,238.0,342.0,434.0,537.0,632.0,746.0,922.0,1142.0,1306.0,1610.0,1909.0,2139.0,2449.0,2738.0,3031.0,3404.0,3737.0,4161.0,4471.0,4815.0,5116.0,5546.0,5972.0,6501.0,6927.0,7213.0,7525.0,7917.0,8273.0,8807.0,9252.0,9730.0,10088.0,10507.0,10832.0,11296.0,11812.0,12306.0,12858.0,13331.0,13813.0,14365.0,14885.0,16023.0,17008.0,18435.0,19663.0,20643.0,22016.0,23048.0,24581.0,25972.0,27219.0,28866.0,30063.0,31721.0,34381.0,37040.0,39542.0,41428.0,43781.0,46059.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,216.0,235.0,386.0,526.0,623.0,882.0,1323.0,1988.0,2775.0,4528.0,5994.0,7734.0,9714.0,11809.0,14399.0,17211.0,20448.0,24320.0,28047.0,31207.0,34625.0,37232.0,40206.0,42696.0,44724.0,59865.0,64021.0,66559.0,68566.0,70618.0,72508.0,74258.0,74652.0,75543.0,76369.0,77016.0,77234.0,77749.0,78159.0,78598.0,78927.0,79355.0,79929.0,80134.0,80261.0,80380.0,80497.0,80667.0,80768.0,80814.0,80859.0,80879.0,80908.0,80932.0,80954.0,80973.0,80995.0,81020.0,81063.0,81086.0,81130.0,81229.0,81281.0,81346.0,81484.0,81553.0,81631.0,81733.0,81827.0,81946.0,82059.0,82157.0,82241.0,82295.0,82395.0,82465.0,82527.0,82575.0,82642.0,82698.0,82784.0,82870.0,82925.0,83004.0,83097.0,83209.0,83303.0,83352.0,83402.0,83754.0,83785.0,83803.0,83817.0,83849.0,83864.0,83876.0,83884.0,83899.0,83909.0,83912.0,83938.0,83940.0,83944.0,83956.0,83959.0,83961.0,83964.0,83966.0,83968.0,83970.0,83976.0,83976.0,83991.0,84010.0,84011.0,84018.0,84024.0,84029.0,84038.0,84044.0,84054.0,84063.0
