district,state,cases,deaths,current_avg_growth_rate,day0,day1,day2,day3,day4,population,state_code,cases_per_million
Adilabad,Telangana,21.0,0.0,,,,,,,708952.0,TG,29.621187330030807
Agar Malwa,Madhya Pradesh,13.0,1.0,,,,,,,,MP,
Agra,Uttar Pradesh,791.0,24.0,4.79,7.62,7.39,7.01,7.16,4.79,4380793.0,UP,180.56091671074162
Ahmadabad,Gujarat,6645.0,446.0,7.39,11.42,9.6,8.58,7.85,7.39,7208200.0,GJ,921.8667628534171
Ahmadnagar,Maharashtra,64.0,3.0,11.05,17.02,8.45,10.9,12.71,11.05,4543083.0,MH,14.087349933954544
Airport Quarantine,Tamil Nadu,9.0,0.0,,,,,,,,TN,
Aizawl,Mizoram,1.0,0.0,,,,,,,404054.0,MZ,2.474916719052404
Ajmer,Rajasthan,235.0,5.0,7.41,9.44,9.65,10.35,9.55,7.41,2584913.0,RJ,90.9121506217037
Akola,Maharashtra,192.0,12.0,9.7,19.52,20.06,14.28,11.37,9.7,1818617.0,MH,105.57473068820978
Alappuzha,Kerala,5.0,0.0,,,,,,,2121943.0,KL,2.356330966477422
Aligarh,Uttar Pradesh,63.0,3.0,5.03,8.53,8.0,5.59,5.29,5.03,3673849.0,UP,17.14822792118021
Alipurduar,West Bengal,0.0,0.0,,,,,,,1700000.0,WB,0.0
Alirajpur,Madhya Pradesh,3.0,0.0,,,,,,,728677.0,MP,4.1170504901348615
Almora,Uttarakhand,2.0,0.0,,,,,,,621927.0,UT,3.2158115019929987
Alwar,Rajasthan,32.0,2.0,7.55,16.61,15.28,9.73,8.5,7.55,3671999.0,RJ,8.714599323147963
Ambala,Haryana,42.0,2.0,0.0,16.67,6.67,0.0,0.0,0.0,1136784.0,HR,36.94633281256598
Ambedkar Nagar,Uttar Pradesh,2.0,0.0,,,,,,,2398709.0,UP,0.8337818384806159
Amethi,Uttar Pradesh,11.0,0.0,41.67,,,,,41.67,2549935.0,UP,4.3138354507075665
Amravati,Maharashtra,89.0,13.0,4.63,10.3,9.14,8.23,6.7,4.63,2887826.0,MH,30.819031340530906
Amreli,Gujarat,1.0,0.0,,,,,,,1513614.0,GJ,0.6606704219173449
Amritsar,Punjab,298.0,4.0,0.34,6.24,6.32,6.4,1.32,0.34,2490891.0,PB,119.63590538486028
Amroha,Uttar Pradesh,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1838771.0,UP,17.40292836900299
Anand,Gujarat,80.0,7.0,2.56,5.59,5.29,4.72,3.61,2.56,2090276.0,GJ,38.272457799831216
Anantapur,Andhra Pradesh,118.0,4.0,5.73,10.95,10.53,10.89,10.31,5.73,4083315.0,AP,28.898088930195197
Anantnag,Jammu and Kashmir,145.0,1.0,3.42,2.51,2.31,0.35,0.35,3.42,1070144.0,JK,135.49578374499134
Angul,Odisha,15.0,0.0,,,,,,,1271703.0,OR,11.795206899724226
Anjaw,Arunachal Pradesh,0.0,0.0,,,,,,,21089.0,AR,0.0
Anugul,Odisha,0.0,0.0,,,,,,,1271703.0,OR,0.0
Anuppur,Madhya Pradesh,3.0,0.0,,,,,,,749521.0,MP,4.002556299289813
Araria,Bihar,4.0,0.0,,,,,,,2806200.0,BR,1.4254151521630674
Aravalli,Gujarat,76.0,2.0,6.46,104.87,96.25,90.22,85.85,6.46,1051746.0,GJ,72.26079300515524
Ariyalur,Tamil Nadu,338.0,0.0,21.46,18.75,19.47,29.94,21.21,21.46,752481.0,TN,449.18077665748365
Arwal,Bihar,12.0,0.0,,,,,,,700843.0,BR,17.122237077348274
Ashoknagar,Madhya Pradesh,2.0,1.0,,,,,,,844979.0,MP,2.3669227282571517
Auraiya,Uttar Pradesh,18.0,0.0,16.67,20.0,0.0,0.0,10.0,16.67,1372287.0,UP,13.116789709441244
Aurangabad,Bihar,0.0,0.0,,,,,,,2511243.0,BR,0.0
Aurangabad(BR),Bihar,18.0,0.0,21.67,0.0,0.0,10.0,16.67,21.67,2511243.0,BR,7.167765126672329
Aurangabad(MH),Maharashtra,680.0,15.0,21.31,16.92,29.06,23.1,22.96,21.31,3695928.0,MH,183.98626813076442
Azamgarh,Uttar Pradesh,9.0,0.0,,,,,,,4616509.0,UP,1.9495250632025196
Badgam,Jammu and Kashmir,0.0,0.0,,,,,,,735753.0,JK,0.0
Bagalkote,Karnataka,68.0,1.0,11.11,28.14,26.14,2.5,11.11,11.11,1890826.0,KA,35.96311876396876
Bageshwar,Uttarakhand,0.0,0.0,,,,,,,259840.0,UT,0.0
Baghpat,Uttar Pradesh,25.0,0.0,20.0,10.0,0.0,0.0,20.0,20.0,1302156.0,UP,19.198928546195692
Bahraich,Uttar Pradesh,26.0,0.0,18.16,12.5,15.58,16.91,18.16,18.16,2384239.0,UP,10.904947029219803
Baksa,Assam,0.0,0.0,,,,,,,953773.0,AS,0.0
Balaghat,Madhya Pradesh,0.0,0.0,,,,,,,1701156.0,MP,0.0
Balangir,Odisha,2.0,0.0,,,,,,,1648574.0,OR,1.2131696848306477
Baleshwar,Odisha,90.0,0.0,25.0,7.38,4.96,6.19,6.39,25.0,2317419.0,OR,38.83630884186243
Ballari,Karnataka,17.0,0.0,,,,,,,2532383.0,KA,6.713044590806367
Ballia,Uttar Pradesh,1.0,0.0,,,,,,,3223642.0,UP,0.31020814346009884
Balod,Chhattisgarh,0.0,0.0,,,,,,,826165.0,CT,0.0
Baloda Bazar,Chhattisgarh,0.0,0.0,,,,,,,1305343.0,CT,0.0
Balrampur,Chhattisgarh,0.0,0.0,,,,,,,598855.0,CT,0.0
Balrampur(CT),Chhattisgarh,0.0,0.0,,,,,,,598855.0,CT,0.0
Balrampur(UP),Uttar Pradesh,2.0,0.0,,,,,,,2149066.0,UP,0.9306368440987852
Bametara,Chhattisgarh,0.0,0.0,,,,,,,197035.0,CT,0.0
Banas Kantha,Gujarat,82.0,3.0,2.85,22.12,15.08,6.56,5.64,2.85,3116045.0,GJ,26.31540943728348
Banda,Uttar Pradesh,21.0,0.0,9.58,26.19,28.69,30.91,12.91,9.58,1799541.0,UP,11.669642425485165
Bandipore,Jammu and Kashmir,134.0,1.0,0.0,3.76,2.43,1.18,0.0,0.0,385099.0,JK,347.9624719877226
Banka,Bihar,11.0,0.0,,,,,,,2029339.0,BR,5.420484206926492
Bankura,West Bengal,0.0,0.0,,,,,,,3596292.0,WB,0.0
Banswara,Rajasthan,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1798194.0,RJ,37.81571954972601
Bara Banki,Uttar Pradesh,7.0,0.0,,,,,,,3257983.0,UP,2.148568608246268
Baramula,Jammu and Kashmir,110.0,3.0,2.13,2.33,2.28,2.22,2.18,2.13,1015503.0,JK,108.32070412396617
Baran,Rajasthan,3.0,0.0,,,,,,,1223921.0,RJ,2.4511385947295623
Bareilly,Uttar Pradesh,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4465344.0,UP,2.463416032449012
Bargarh,Odisha,0.0,0.0,,,,,,,1478833.0,OR,0.0
