district,state_code,state,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12
Nicobar,AN,Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North & Middle Andman,AN,Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
South Andman,AN,Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,13.0,14.0,15.0,16.0,17.0,21.0,28.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
Anantapur,AP,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,6.0,6.0,6.0,13.0,13.0,15.0,15.0,15.0,15.0,20.0,21.0,21.0,26.0,26.0,29.0,33.0,36.0,36.0,42.0,46.0,51.0,51.0,51.0,52.0,56.0,59.0,65.0,69.0,76.0,76.0,78.0,78.0,81.0,97.0,100.0,104.0,112.0,112.0
chittoor,AP,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,9.0,9.0,10.0,17.0,17.0,18.0,20.0,20.0,20.0,20.0,21.0,23.0,23.0,23.0,23.0,28.0,28.0,28.0,53.0,53.0,59.0,73.0,73.0,73.0,73.0,73.0,74.0,77.0,80.0,80.0,80.0,81.0,82.0,82.0,82.0,82.0,85.0,96.0,112.0,121.0,131.0
East Godavari,AP,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,9.0,9.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,19.0,24.0,26.0,26.0,26.0,32.0,34.0,37.0,37.0,37.0,37.0,38.0,40.0,40.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,45.0
Guntur,AP,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,4.0,4.0,9.0,20.0,20.0,20.0,30.0,30.0,32.0,41.0,49.0,51.0,58.0,75.0,82.0,90.0,111.0,119.0,119.0,122.0,122.0,125.0,145.0,154.0,173.0,191.0,202.0,205.0,205.0,227.0,244.0,273.0,277.0,296.0,298.0,309.0,328.0,341.0,353.0,363.0,364.0,366.0,372.0,377.0,377.0
Krishna,AP,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,15.0,22.0,22.0,27.0,27.0,28.0,28.0,34.0,34.0,34.0,34.0,34.0,35.0,43.0,44.0,47.0,51.0,68.0,74.0,79.0,82.0,85.0,87.0,101.0,126.0,170.0,203.0,216.0,229.0,239.0,239.0,251.0,259.0,271.0,279.0,293.0,309.0,315.0,331.0,332.0,335.0,339.0
Kurnool,AP,Andhra Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,53.0,73.0,74.0,74.0,74.0,76.0,81.0,83.0,83.0,90.0,108.0,111.0,125.0,131.0,157.0,173.0,183.0,202.0,233.0,260.0,274.0,277.0,290.0,330.0,340.0,383.0,408.0,433.0,463.0,488.0,513.0,530.0,537.0,544.0,550.0,563.0,572.0,581.0
Prakasam,AP,Andhra Pradesh,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,11.0,15.0,17.0,17.0,21.0,23.0,24.0,24.0,28.0,39.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,44.0,44.0,44.0,44.0,48.0,50.0,53.0,53.0,56.0,56.0,56.0,60.0,60.0,60.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,63.0,63.0,63.0
