district,total_case_count,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
"Adilabad, TG",21.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Agar Malwa, MP",13.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Agra, UP",827.0,,,,50.49,36.94,16.91,22.22,23.22,24.66,24.33,22.56,17.91,12.96,8.23,7.62,7.39,7.01,7.16,5.07,3.16,2.74,2.56,1.55,1.48,1.72
"Ahmadabad, GJ",8945.0,,,,50.38,32.52,25.04,21.45,21.45,21.45,18.55,18.21,16.12,14.26,12.58,11.42,9.6,8.58,7.85,7.39,6.81,6.29,8.66,8.25,7.72,7.36
"Ahmadnagar, MH",84.0,,,,,,30.24,23.57,23.57,23.57,28.57,30.0,32.0,33.82,35.48,17.02,8.45,10.9,12.71,14.12,15.25,14.06,9.85,6.9,5.82,3.16
"Airport Quarantine, TN",54.0,,,,,,,,,,,,,,,,,,,,,,,,,113.67
"Aizawl, MZ",1.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Ajmer, RJ",259.0,,,,65.92,52.8,44.66,24.89,25.27,15.76,10.12,9.71,6.38,6.26,7.44,9.44,9.65,10.35,9.55,7.86,5.08,4.14,3.07,2.74,2.41,2.36
"Akola, MH",274.0,,,,46.61,29.83,20.94,14.0,10.24,12.58,11.17,11.73,16.83,19.59,17.76,19.52,20.06,14.28,11.37,9.7,7.77,7.28,7.78,9.7,7.38,5.73
"Alappuzha, KL",10.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Aligarh, UP",99.0,,,,53.58,36.31,28.71,26.4,10.16,9.79,8.78,7.96,9.23,8.55,9.13,8.53,8.0,5.59,5.29,5.03,4.78,4.01,3.28,2.6,3.02,2.91
"Alipurduar, WB",0.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Alirajpur, MP",3.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Almora, UT",2.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Alwar, RJ",36.0,,,,,,,,,,,,45.83,29.17,22.02,16.61,15.28,9.73,8.5,7.55,7.17,6.82,6.51,5.18,4.75,5.26
"Ambala, HR",42.0,,,,,,,20.0,0.0,0.0,0.0,10.0,16.67,16.67,16.67,16.67,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ambedkar Nagar, UP",21.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Amethi, UP",26.0,,,,,,,,,,,,,,,,,,,45.67,29.0,23.29,18.97,16.08,19.7,16.36
