,total_case_count,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12
"Nicobar, AN",0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North & Middle Andman, AN",1.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"South Andman, AN",32.0,,,,,,,,,,,,,,,,,,,67.5,10.36,1.79,1.79,0.0,0.0,1.59,1.59,1.59,1.59,1.59,1.59,1.59,0.0,0.0,1.43,4.03,5.12,6.15,7.1,7.99,11.35,14.69,14.13,13.03,12.01,11.06,10.16,6.8,2.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anantapur, AP",112.0,,,,,,,,,,,,,,,,,,,,,,,,21.43,38.1,38.1,40.29,33.15,18.86,18.86,23.63,7.67,7.67,8.88,8.88,10.53,12.5,9.03,8.32,10.7,8.66,10.21,8.56,6.59,5.57,6.67,5.06,5.15,4.48,5.93,5.93,6.02,4.92,4.71,6.08,5.64,4.76,5.86,5.48
"chittoor, AP",131.0,,,,,,,,,,,,,,,,,0.0,71.43,78.57,78.57,80.16,90.16,90.16,91.0,21.16,14.01,14.01,12.43,3.14,4.5,3.66,2.07,2.07,5.18,5.18,4.47,15.86,15.86,17.48,20.87,17.76,17.76,17.76,5.01,5.2,4.16,1.33,1.33,1.33,1.51,1.69,1.49,0.91,0.35,0.88,2.73,4.93,5.9,7.08
"East Godavari, AP",45.0,,,,,,,,,,,,,,0.0,0.0,28.57,33.33,51.19,51.19,54.37,54.37,54.37,25.79,21.03,3.17,4.47,7.25,7.25,7.25,7.25,7.25,7.25,5.95,0.0,1.68,5.44,6.63,6.63,6.63,9.93,10.82,10.4,6.64,5.45,5.45,5.84,3.29,2.4,2.21,2.21,2.21,2.21,2.16,1.4,1.4,0.33,0.33,0.33,0.66
"Guntur, AP",377.0,,,,,,,,,,,,,,,,,,63.89,63.89,49.6,42.46,42.46,43.41,29.57,14.9,15.48,17.44,14.49,15.82,16.26,15.58,13.82,13.24,11.64,7.45,6.47,7.36,4.91,5.65,7.13,7.6,7.81,7.46,6.7,6.89,6.82,5.55,5.7,5.59,6.11,5.46,4.96,3.76,3.96,3.02,3.0,2.7,2.02,1.45
"Krishna, AP",339.0,,,,,,,,,,,,,,26.19,26.19,26.19,29.76,44.05,43.57,43.57,42.06,42.06,42.59,39.01,13.5,6.84,6.84,3.59,3.59,3.48,6.75,4.02,4.99,6.21,10.97,12.23,12.78,10.05,10.24,9.6,10.69,9.46,13.19,15.0,15.37,15.71,16.0,13.7,10.88,6.34,4.23,3.74,3.6,3.75,4.03,4.04,3.63,3.09,2.84
"Kurnool, AP",581.0,,,,,,,,,,,,,,,,,,,,,42.86,,,,,,,,7.27,1.87,2.88,5.74,6.14,7.55,7.3,9.78,11.24,10.86,9.48,11.28,11.13,11.22,8.54,7.75,8.9,7.85,7.46,6.74,6.84,7.68,7.78,6.54,6.58,4.96,4.22,3.5,2.85,2.3,1.8
"Prakasam, AP",63.0,,,,,,,,,,,,0.0,0.0,28.57,28.57,28.57,66.67,71.86,73.77,73.77,48.56,49.92,50.54,12.44,9.63,13.34,14.07,11.06,9.7,9.07,9.07,6.69,1.08,0.35,0.68,0.68,0.68,0.68,1.98,2.57,3.43,2.75,3.56,3.56,3.56,3.28,2.69,1.83,2.07,1.26,1.26,1.26,0.24,0.24,0.24,0.0,0.47,0.47,0.47
