district,total_case_count,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19
"Adilabad, TG",21.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Agar Malwa, MP",13.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Agra, UP",827.0,5.71,0.23,2.74,3.88,2.74,2.74,6.62,8.9,13.7,7.3,2.74,3.42,3.42,8.22,8.45,2.97,3.2,5.48,1.37,1.37,1.37,2.74,0.91,1.14,2.74
"Ahmadabad, GJ",8945.0,25.25,24.69,27.33,22.75,32.6,34.54,37.04,,,35.93,48.42,40.37,38.15,37.32,38.84,38.57,37.18,37.04,40.51,36.76,36.21,134.99,38.29,36.49,36.35
"Ahmadnagar, MH",84.0,0.66,0.22,0.66,0.66,0.0,0.0,0.0,,,2.2,2.2,0.66,0.66,0.66,0.66,0.66,2.2,2.2,2.2,2.2,0.22,0.22,0.66,1.98,0.0
"Airport Quarantine, TN",54.0,,,,,,,,,,,,,,,,,,,,,,,,,
"Aizawl, MZ",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Ajmer, RJ",259.0,1.16,4.26,0.39,4.26,4.26,1.55,4.26,1.55,1.16,1.55,1.93,1.93,1.93,3.48,5.8,3.48,4.64,1.16,1.16,1.16,1.93,2.71,0.39,0.39,1.16
"Akola, MH",274.0,2.75,3.3,2.75,2.75,2.75,1.1,1.1,1.1,7.15,2.75,2.75,11.0,8.8,12.1,12.1,8.8,1.65,3.85,12.65,8.8,9.9,5.5,18.15,2.75,0.0
"Alappuzha, KL",10.0,,,,,,,,,,,,,,,,,,,,,,0.47,0.47,0.47,0.47
"Aligarh, UP",99.0,0.82,0.54,2.72,0.27,0.82,0.82,0.82,0.82,0.27,0.82,0.82,1.91,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.27,0.27,0.27,1.36,0.82
"Alipurduar, WB",0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"Alirajpur, MP",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Almora, UT",2.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
