,total_case_count,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04
"Nicobar, AN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"North & Middle Andman, AN",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"South Andman, AN",32.0,0.5039010338369544,0.5039010338369544,0.6718680451159393,1.1757690789528936,1.4277195958713709,1.3437360902318787,1.259752584592386,0.9238185620344166,0.33593402255796967,0.0,0.0,0.0,0.0,0.0
"Anantapur, AP",76.0,0.07346971761914034,0.04897981174609355,0.07836769879374969,0.08326567996835904,0.0881636611429684,0.07346971761914034,0.07346971761914034,0.04897981174609355,0.04897981174609355,0.039183849396874845,0.06857173644453098,0.0881636611429684,0.11755154819062452,0.0979596234921871
"chittoor, AP",82.0,0.14386874566595403,0.14866437052148584,0.21580311849893108,0.21580311849893108,0.09591249711063604,0.09591249711063604,0.0671387479774452,0.004795624855531801,0.019182499422127203,0.0335693739887226,0.0335693739887226,0.0335693739887226,0.0335693739887226,0.02397812427765901
"East Godavari, AP",43.0,0.034940946888013684,0.034940946888013684,0.05047025661601977,0.0388232743200152,0.04270560175201673,0.04270560175201673,0.04270560175201673,0.0194116371600076,0.015529309728006082,0.011646982296004561,0.011646982296004561,0.023293964592009123,0.023293964592009123,0.0194116371600076
"Guntur, AP",328.0,0.14317182869286166,0.20862180752388412,0.28225303370878446,0.3149780231242956,0.24543742061633428,0.20862180752388412,0.22089367855470085,0.2168030548777619,0.2904342810626622,0.29452490473960113,0.3722467546014403,0.2904342810626622,0.2658905390010288,0.22498430223163973
"Krishna, AP",271.0,0.15455919827052675,0.15014322117708312,0.08390356477542879,0.11923138152297777,0.2075509233918502,0.38860598422303866,0.5210852970263473,0.5696610450542271,0.5652450679607836,0.4990054115591292,0.3047024194476099,0.21196690048529382,0.1898870150180757,0.1854710379246321
"Kurnool, AP",488.0,0.3558542094958213,0.38056630737747554,0.5041267967857468,0.5090692163620778,0.499184377209416,0.4645874401751,0.434932922717115,0.47941469890409255,0.39539356610646814,0.5387237338200629,0.6474569644993415,0.7067659994153118,0.6573418036520032,0.731478097296966
"Prakasam, AP",61.0,0.011789797345173434,0.0353693920355203,0.0353693920355203,0.053054088053280456,0.053054088053280456,0.0707387840710406,0.04715918938069374,0.0353693920355203,0.04126429070810701,0.04126429070810701,0.02357959469034687,0.029474493362933583,0.029474493362933583,0.005894898672586717
"Nellore, AP",92.0,0.06068611724153277,0.02022870574717759,0.0,0.006742901915725863,0.03371450957862932,0.03371450957862932,0.08091482298871036,0.10114352873588796,0.09440062682016208,0.08091482298871036,0.08091482298871036,0.07417192107298451,0.06068611724153277,0.06068611724153277
"Srikakulam, AP",5.0,0.0,0.0,0.0,0.0,0.02222657698489815,0.02222657698489815,0.029635435979864202,0.029635435979864202,0.03704429497483026,0.014817717989932101,0.014817717989932101,0.0074088589949660505,0.0074088589949660505,0.0
"Visakhapatnam, AP",35.0,0.0046640561944146525,0.0046640561944146525,0.009328112388829305,0.0046640561944146525,0.0046640561944146525,0.0046640561944146525,0.0046640561944146525,0.0,0.0046640561944146525,0.0046640561944146525,0.013992168583243958,0.03264839336090256,0.03264839336090256,0.05596867433297583
"Vizianagaram, AP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"West Godavari, AP",58.0,0.02541436857238851,0.02541436857238851,0.020331494857910807,0.020331494857910807,0.020331494857910807,0.06099448457373242,0.07624310571716553,0.07624310571716553,0.08640885314612093,0.08640885314612093,0.03558011600134391,0.02541436857238851,0.02541436857238851,0.015248621143433104
"Y.S.R., AP",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Anjaw, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Changlang, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"East Kameng, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"East Siang, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kamle, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kra daadi, AR",0.0,,,,,,,,,,,,,,
"Kurung Kumey, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lepa Rada, AR",0.0,,,,,,,,,,,,,,
"Lohit, AR",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Longding, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lower Dibang valley, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lower Siang, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Lower Subansiri, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Namsai, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Pakke Kessang, AR",0.0,,,,,,,,,,,,,,
"Papum Pare, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Shi Yomi, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Siang, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tawang, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Tirap, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dibang Valley, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Upper Siang, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Upper Subansiri, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"West Kameng, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"West Siang, AR",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Baksa, AS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Barpeta, AS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Biswanath, AS",0.0,,,,,,,,,,,,,,
"Bongaigaon, AS",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027298574058984032,0.027298574058984032,0.13649287029492013,0.13649287029492013,0.13649287029492013,0.10919429623593613,0.10919429623593613
"Cachar, AS",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Charaideo, AS",0.0,,,,,,,,,,,,,,
"Chirang, AS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Darrang, AS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dhemaji, AS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dhubri, AS",5.0,0.0,0.0,0.010263610573982158,0.010263610573982158,0.010263610573982158,0.010263610573982158,0.010263610573982158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dibrugarh, AS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dima Hasao, AS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Goalpara, AS",5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019822411019674736,0.019822411019674736,0.019822411019674736,0.019822411019674736,0.019822411019674736,0.0,0.0
"Golaghat, AS",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hailakandi, AS",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Hojai, AS",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Jorhat, AS",8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kamrup, AS",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
