id,value,district,per_outbreak_free_districts,per_outbreak_free_population
"district.Tumakuru, KA",12,"Tumakuru, KA",27,10
"district.Fatehpur, UP",7,"Fatehpur, UP",27,10
"district.Sabar-Kantha, GJ",28,"Sabar-Kantha, GJ",27,10
"district.Pithoragarh, UT",1,"Pithoragarh, UT",27,10
"district.Rupnagar, PB",57,"Rupnagar, PB",27,10
"district.Ramanagara, KA",1,"Ramanagara, KA",27,10
"district.Kulgam, JK",73,"Kulgam, JK",27,10
"district.Yamunanagar, HR",9,"Yamunanagar, HR",27,10
"district.Sambalpur, OR",1,"Sambalpur, OR",27,10
"district.Koraput, OR",2,"Koraput, OR",27,10
"district.Lower-Dibang-Valley, AR",1,"Lower-Dibang-Valley, AR",27,10
"district.Mahoba, UP",4,"Mahoba, UP",27,10
"district.Gwalior, MP",32,"Gwalior, MP",27,10
"district.Khawzawl, MZ",1,"Khawzawl, MZ",27,10
"district.Lahaul-and-Spiti, HP",1,"Lahaul-and-Spiti, HP",27,10
"district.Kachchh, GJ",15,"Kachchh, GJ",27,10
"district.Janjgir-Champa, CT",1,"Janjgir-Champa, CT",27,10
"district.Bhandara, MH",2,"Bhandara, MH",27,10
"district.Buldana, MH",26,"Buldana, MH",27,10
"district.East-Godavari, AP",52,"East-Godavari, AP",27,10
"district.Pali, RJ",96,"Pali, RJ",27,10
"district.South-West-Khasi-Hills, ML",1,"South-West-Khasi-Hills, ML",27,10
"district.West-Garo-Hills, ML",1,"West-Garo-Hills, ML",27,10
"district.Ranchi, JH",97,"Ranchi, JH",27,10
"district.Baloda-Bazar, CT",1,"Baloda-Bazar, CT",27,10
"district.Pakke-Kessang, AR",1,"Pakke-Kessang, AR",27,10
"district.West-Khasi-Hills, ML",1,"West-Khasi-Hills, ML",27,10
"district.Saharsa, BR",11,"Saharsa, BR",27,10
"district.Gajapati, OR",1,"Gajapati, OR",27,10
"district.Chikkaballapura, KA",25,"Chikkaballapura, KA",27,10
"district.Pauri-Garhwal, UT",2,"Pauri-Garhwal, UT",27,10
"district.Nagarkurnool, TG",3,"Nagarkurnool, TG",27,10
"district.Ujjain, MP",270,"Ujjain, MP",27,10
"district.Senapati, MN",1,"Senapati, MN",27,10
"district.Papum-Pare, AR",1,"Papum-Pare, AR",27,10
"district.Thoubal, MN",1,"Thoubal, MN",27,10
"district.Surajpur, CT",7,"Surajpur, CT",27,10
"district.Balod, CT",1,"Balod, CT",27,10
"district.West-District, SK",1,"West-District, SK",27,10
"district.Dewas, MP",57,"Dewas, MP",27,10
"district.Khowai, TR",1,"Khowai, TR",27,10
"district.Sangareddy, TG",8,"Sangareddy, TG",27,10
"district.Guna, MP",2,"Guna, MP",27,10
"district.Shimla, HP",2,"Shimla, HP",27,10
"district.East-Jaintia-Hills, ML",1,"East-Jaintia-Hills, ML",27,10
"district.Nilgiris, TN",16,"Nilgiris, TN",27,10
"district.Panch-Mahals, GJ",67,"Panch-Mahals, GJ",27,10
"district.Kabeerdham, CT",7,"Kabeerdham, CT",27,10
"district.Rajkot, GJ",67,"Rajkot, GJ",27,10
"district.Dhule, MH",72,"Dhule, MH",27,10
"district.Kurung-Kumey, AR",1,"Kurung-Kumey, AR",27,10
"district.Kamareddy, TG",13,"Kamareddy, TG",27,10
"district.Kiphire, NL",1,"Kiphire, NL",27,10
"district.Saraikela-Kharsawan, JH",1,"Saraikela-Kharsawan, JH",27,10
"district.Anugul, OR",1,"Anugul, OR",27,10
"district.Jalgaon, MH",207,"Jalgaon, MH",27,10
"district.Sonitpur, AS",1,"Sonitpur, AS",27,10
"district.Gadag, KA",9,"Gadag, KA",27,10
"district.Vizianagaram, AP",5,"Vizianagaram, AP",27,10
"district.Thiruvarur, TN",34,"Thiruvarur, TN",27,10
"district.Sehore, MP",5,"Sehore, MP",27,10
"district.Hamirpur, HP",1,"Hamirpur, HP",27,10
"district.Sangrur, PB",89,"Sangrur, PB",27,10
"district.Munger, BR",123,"Munger, BR",27,10
"district.Anjaw, AR",1,"Anjaw, AR",27,10
"district.Mokokchung, NL",1,"Mokokchung, NL",27,10
"district.Thiruvananthapuram, KL",18,"Thiruvananthapuram, KL",27,10
"district.Kottayam, KL",24,"Kottayam, KL",27,10
"district.Meerut, UP",275,"Meerut, UP",27,10
"district.Perambalur, TN",143,"Perambalur, TN",27,10
"district.Koppal, KA",1,"Koppal, KA",27,10
"district.Nabarangapur, OR",1,"Nabarangapur, OR",27,10
"district.Ramgarh, JH",1,"Ramgarh, JH",27,10
"district.Jhabua, MP",3,"Jhabua, MP",27,10
"district.Coimbatore, TN",147,"Coimbatore, TN",27,10
"district.Narmada, GJ",14,"Narmada, GJ",27,10
"district.Unnao, UP",7,"Unnao, UP",27,10
"district.Pratapgarh, RJ",1,"Pratapgarh, RJ",27,10
"district.Amroha, UP",33,"Amroha, UP",27,10
"district.Gadchiroli, MH",1,"Gadchiroli, MH",27,10
"district.Kozhikode, KL",27,"Kozhikode, KL",27,10
"district.Hathras, UP",20,"Hathras, UP",27,10
"district.Jalaun, UP",38,"Jalaun, UP",27,10
"district.Lucknow, UP",265,"Lucknow, UP",27,10
"district.Wayanad, KL",14,"Wayanad, KL",27,10
"district.Wokha, NL",1,"Wokha, NL",27,10
"district.Raigarh(CT), CT",1,"Raigarh(CT), CT",27,10
"district.Peddapalli, TG",3,"Peddapalli, TG",27,10
"district.Una, HP",18,"Una, HP",27,10
"district.Tirupathur, TN",29,"Tirupathur, TN",27,10
"district.Saiha, MZ",1,"Saiha, MZ",27,10
"district.West-Jaintia-Hills, ML",1,"West-Jaintia-Hills, ML",27,10
"district.North-District, SK",1,"North-District, SK",27,10
"district.Prayagraj, UP",22,"Prayagraj, UP",27,10
"district.Alipurduar, WB",1,"Alipurduar, WB",27,10
"district.Tiruppur, TN",115,"Tiruppur, TN",27,10
"district.Dakshin-Dinajpur, WB",1,"Dakshin-Dinajpur, WB",27,10
"district.Vikarabad, TG",38,"Vikarabad, TG",27,10
"district.Rohtas, BR",76,"Rohtas, BR",27,10
"district.Jehanabad, BR",22,"Jehanabad, BR",27,10
"district.Shamli, UP",33,"Shamli, UP",27,10
"district.Morena, MP",26,"Morena, MP",27,10
"district.Hapur, UP",61,"Hapur, UP",27,10
"district.Karimnagar, TG",20,"Karimnagar, TG",27,10
"district.Hamirpur(UP), UP",2,"Hamirpur(UP), UP",27,10
"district.Changlang, AR",1,"Changlang, AR",27,10
"district.Ghazipur, UP",11,"Ghazipur, UP",27,10
"district.Katihar, BR",13,"Katihar, BR",27,10
