state_name,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18
"Andhra Pradesh, AP",,,,,,,,,,,,,,,,,,,3.64,3.74,3.8,3.16,3.43,4.1,7.52,7.42,9.83,12.21,13.65,13.58,15.36,13.5,12.34,18.23,16.43,15.92,16.47,16.03,10.8,10.73,9.58,9.68,10.65,9.53,9.56,10.14,10.53,10.96,12.47,13.84,15.49,16.38,17.19,17.92,19.04,20.11,22.91,24.85,28.11,27.65,28.98,27.25,25.54,24.92,33.94,34.21
"Assam, AS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.76,21.38,19.51,,,,,,,
"Bihar, BR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.73,,,,,,,,21.5,20.76,21.06,16.33,5.28,4.53,4.85,4.99,4.51,6.18,7.11,8.54,8.64,12.4,11.85,16.99,24.91,34.07,39.16,39.93,35.93,26.35,18.09,9.49,8.51,8.87,12.07,10.72,11.07,11.2
"Delhi, DL",,,,,,,,,,,,,,,,8.18,7.75,3.48,2.75,2.27,2.42,2.93,3.41,6.06,7.34,7.77,8.68,8.16,5.74,6.06,5.65,7.93,20.12,22.9,24.55,25.37,23.65,14.48,14.8,14.66,15.82,15.82,15.4,12.8,11.68,11.33,12.62,15.75,16.7,15.92,15.16,13.3,10.32,9.79,10.15,11.26,13.37,12.45,13.89,14.65,15.15,13.59,13.97,13.69,14.29,15.86
"Gujarat, GJ",,,,,,,,,,,,,,,5.92,5.83,5.9,7.27,6.57,17.82,18.61,18.37,16.69,16.89,5.53,5.99,5.31,4.88,4.47,5.13,4.2,4.88,5.34,5.41,4.82,4.09,3.59,4.05,4.52,5.08,6.07,7.46,7.75,8.48,9.01,9.65,9.45,9.73,9.75,9.86,9.56,9.86,9.88,10.29,10.69,11.31,11.91,12.8,13.8,14.7,15.6,16.96,18.16,16.19,16.81,17.73
"Haryana, HR",,,,,,,,,,,,,,,,,,,,,,,,4.96,4.42,4.5,11.91,13.9,21.41,22.5,48.71,54.57,55.22,49.66,51.83,28.24,16.44,46.52,52.65,52.85,55.52,61.22,29.73,25.46,29.74,29.6,36.34,34.71,32.9,27.29,22.12,8.7,9.48,8.52,8.57,11.72,14.1,15.14,17.09,16.46,20.84,22.03,21.84,21.82,25.14,23.83
"Himachal Pradesh, HP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.98,18.9,14.41,16.63,15.67,23.36,21.47,25.39,22.62,27.01,18.83
"Jammu and Kashmir, JK",,,,,,,,,,,,,,,,,,3.39,4.16,5.03,6.05,6.19,5.97,9.78,9.65,8.23,8.46,8.66,5.45,5.98,6.82,10.65,11.3,12.58,14.21,16.35,15.31,17.06,18.34,17.19,15.78,15.15,13.22,11.33,12.53,14.42,16.31,17.18,18.22,18.35,17.0,16.0,20.26,19.88,22.57,23.6,28.49,26.41,30.02,26.27,26.1,28.54,28.45,23.12,23.41,21.46
"Karnataka, KA",,,,,,,,,,,,2.87,4.22,4.61,4.61,9.66,11.39,10.56,11.27,11.84,10.52,9.33,11.25,11.43,12.23,11.97,12.43,12.31,14.16,14.03,12.13,13.19,12.36,9.84,9.08,8.93,15.17,16.28,20.86,26.31,27.6,20.86,20.38,37.83,39.14,42.3,46.22,46.16,26.32,25.38,25.34,21.59,23.22,24.63,25.83,21.45,21.7,19.64,23.37,17.26,18.99,21.2,21.14,16.81,17.67,15.5
"Kerala, KL",,,,,,,,,,5.67,2.87,4.23,4.63,4.63,8.37,8.69,7.89,11.66,12.57,10.25,13.4,16.24,16.91,18.87,22.16,22.93,23.19,24.96,26.66,47.55,59.75,62.33,108.91,111.55,140.38,136.73,157.89,113.53,108.82,59.44,51.79,44.77,44.41,47.2,46.82,57.46,43.49,68.94,,,,,,,,,,,,139.61,77.16,45.07,39.91,37.03,28.43,24.03
"Madhya Pradesh, MP",,,,,,,,,,,,,,,,,,,,,3.46,3.64,5.07,5.21,4.75,5.22,5.04,4.69,5.07,6.25,6.96,6.96,6.05,5.83,4.71,5.18,43.39,45.37,47.87,52.91,53.14,15.73,15.82,14.61,12.32,11.47,11.92,14.79,16.97,18.27,24.8,26.64,24.99,25.7,24.36,21.53,21.78,21.02,19.2,18.0,15.88,14.18,14.76,15.09,16.03,15.74
"Maharashtra, MH",,,,,,,7.92,7.78,6.91,5.46,5.28,4.6,9.64,9.31,9.59,9.76,10.43,5.16,5.87,5.68,5.08,3.88,4.29,3.88,4.15,4.44,4.68,4.79,5.1,5.4,4.98,5.23,5.9,6.15,8.75,9.38,9.36,9.03,8.78,6.76,6.36,7.73,7.65,8.88,9.34,9.97,9.85,11.05,10.09,9.96,10.84,9.82,9.52,9.82,9.71,9.48,10.6,10.0,10.75,12.0,11.98,11.96,12.93,12.95,11.6,11.62
"Punjab, PB",,,,,,,,,,,,,,,,,,,,,16.7,15.56,12.88,12.28,6.44,7.32,7.32,5.17,7.31,8.59,10.55,12.99,24.89,24.25,24.37,21.71,21.91,42.98,46.3,45.63,52.07,51.44,21.75,19.14,23.43,19.53,18.35,14.72,12.3,7.15,3.66,3.39,3.68,5.73,7.09,9.39,15.96,19.18,21.18,26.42,50.34,66.84,-26.58,-12.13,-4.17,-13.69
"Rajasthan, RJ",,,,,,,,,,,,,,,,7.5,7.17,5.31,5.24,4.78,3.68,4.19,3.89,4.47,4.18,4.97,4.71,4.89,4.4,4.34,4.35,4.84,6.14,8.3,8.97,9.16,9.49,9.62,8.28,8.25,10.3,12.71,16.38,17.83,20.2,19.83,20.25,16.84,18.38,17.93,18.23,16.21,18.23,16.62,17.31,17.06,18.62,19.1,19.38,19.21,18.92,17.98,16.08,16.13,14.97,14.5
"Tamil Nadu, TN",,,,,,,,,,,,,,,,4.34,4.44,3.39,3.1,2.21,1.9,2.27,2.89,4.32,5.14,6.72,7.01,7.73,8.33,8.35,7.87,12.05,14.95,19.66,21.53,23.75,20.31,20.68,16.57,20.14,20.58,22.01,20.93,22.1,20.42,18.46,17.96,16.14,13.78,10.27,9.49,7.54,6.64,5.79,5.42,5.24,6.03,6.41,6.93,7.33,8.45,9.73,11.47,13.16,13.9,14.43
"Tripura, TR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,1.47,1.84,2.64,3.5,,,,,,,,
"Uttar Pradesh, UP",,,,,,,,,,,,,,,6.01,5.82,4.61,4.96,5.24,6.29,5.39,5.37,4.44,4.76,4.85,6.06,6.68,8.41,10.15,10.6,9.91,9.64,8.39,6.69,7.2,7.24,7.57,8.16,7.78,6.9,9.26,10.06,9.55,11.59,12.23,13.05,14.68,17.21,16.73,16.46,14.53,14.05,13.57,14.33,18.0,18.79,18.56,20.18,21.33,21.08,23.5,24.32,22.83,21.1,18.52,17.5
"West Bengal, WB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.06,10.24,9.69,6.82,6.86,6.9,6.05,6.12,7.3,7.63,6.88,7.3,7.97,7.33,7.1,8.19,8.67,8.76,11.13,12.92,13.78,12.42,11.01,10.28,9.29,8.11,9.44,10.63,10.06,9.62,10.13,10.53,11.46,12.95,15.26,16.06,16.99,16.94
