date,AN,AP,AR,AS,BR,CH,CT,DD,DL,DN,GA,GJ,HP,HR,JH,JK,KA,KL,LA,LD,MH,ML,MN,MP,MZ,NL,OR,PB,PY,RJ,SK,TG,TN,TR,UP,UT,WB
total_count,33.0,2137.0,1.0,80.0,953.0,191.0,59.0,0.0,7998.0,1.0,7.0,9268.0,67.0,793.0,177.0,971.0,959.0,535.0,43.0,0.0,25922.0,13.0,2.0,4173.0,1.0,0.0,538.0,1924.0,13.0,4278.0,0.0,1367.0,9227.0,153.0,3758.0,72.0,2290.0
14-Mar-20,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.14,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.16,-1.0,,0.0,-1.0,-1.0,-1.0,-1.0,,-1.0,0.0,-1.0,0.33,,0.0,0.0,-1.0,0.33,-1.0,-1.0
15-Mar-20,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.29,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.12,-1.0,,0.0,-1.0,-1.0,-1.0,-1.0,,-1.0,0.0,-1.0,0.75,,0.33,0.0,-1.0,0.31,-1.0,-1.0
16-Mar-20,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.29,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.11,-1.0,,0.0,-1.0,-1.0,-1.0,-1.0,,0.0,0.0,0.0,0.75,,0.25,1.0,-1.0,0.31,0.0,-1.0
17-Mar-20,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.25,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.11,-1.0,,0.0,-1.0,-1.0,-1.0,-1.0,,0.0,0.0,0.0,0.75,,0.2,1.0,-1.0,0.33,0.0,0.0
18-Mar-20,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,,0.2,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,0.11,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,,0.0,0.0,0.0,0.43,,0.08,0.5,-1.0,0.29,0.0,0.0
19-Mar-20,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,,0.21,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.11,0.0,,0.0,-1.0,-1.0,-1.0,-1.0,,0.0,0.0,0.0,0.33,,0.06,0.33,-1.0,0.45,0.0,0.0
20-Mar-20,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,,0.25,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.07,0.08,0.0,,0.0,-1.0,-1.0,0.0,-1.0,,0.0,0.0,0.0,0.18,,0.05,0.33,-1.0,0.38,0.0,0.0
21-Mar-20,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,,0.19,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.05,0.06,0.0,,0.0,-1.0,-1.0,0.0,-1.0,,0.0,0.0,0.0,0.12,,0.05,0.17,-1.0,0.32,0.0,0.0
22-Mar-20,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,,0.19,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.04,0.04,0.0,,0.0,-1.0,-1.0,0.0,-1.0,,0.0,0.0,0.0,0.11,,0.04,0.11,-1.0,0.3,0.0,0.0
