date,daily_confirmed,total_confirmed,daily_deaths,total_deaths,daily_recovered,total_recovered,rolling_avg_confirmed,rolling_avg_deaths
2020-01-30,1,1,0,0,0,0,,
2020-01-31,0,1,0,0,0,0,,
2020-02-01,0,1,0,0,0,0,,
2020-02-02,1,2,0,0,0,0,,
2020-02-03,1,3,0,0,0,0,,
2020-02-04,0,3,0,0,0,0,,
2020-02-05,0,3,0,0,0,0,0.42857142857142855,0.0
2020-02-06,0,3,0,0,0,0,0.2857142857142857,0.0
2020-02-07,0,3,0,0,0,0,0.2857142857142857,0.0
2020-02-08,0,3,0,0,0,0,0.2857142857142857,0.0
2020-02-09,0,3,0,0,0,0,0.14285714285714285,0.0
2020-02-10,0,3,0,0,0,0,0.0,0.0
2020-02-11,0,3,0,0,0,0,0.0,0.0
2020-02-12,0,3,0,0,0,0,0.0,0.0
2020-02-13,0,3,0,0,1,1,0.0,0.0
2020-02-14,0,3,0,0,0,1,0.0,0.0
2020-02-15,0,3,0,0,0,1,0.0,0.0
2020-02-16,0,3,0,0,1,2,0.0,0.0
2020-02-17,0,3,0,0,0,2,0.0,0.0
2020-02-18,0,3,0,0,0,2,0.0,0.0
2020-02-19,0,3,0,0,0,2,0.0,0.0
2020-02-20,0,3,0,0,1,3,0.0,0.0
2020-02-21,0,3,0,0,0,3,0.0,0.0
2020-02-22,0,3,0,0,0,3,0.0,0.0
2020-02-23,0,3,0,0,0,3,0.0,0.0
2020-02-24,0,3,0,0,0,3,0.0,0.0
2020-02-25,0,3,0,0,0,3,0.0,0.0
2020-02-26,0,3,0,0,0,3,0.0,0.0
2020-02-27,0,3,0,0,0,3,0.0,0.0
2020-02-28,0,3,0,0,0,3,0.0,0.0
2020-02-29,0,3,0,0,0,3,0.0,0.0
2020-03-01,0,3,0,0,0,3,0.0,0.0
2020-03-02,2,5,0,0,0,3,0.2857142857142857,0.0
2020-03-03,1,6,0,0,0,3,0.42857142857142855,0.0
2020-03-04,22,28,0,0,0,3,3.5714285714285716,0.0
2020-03-05,2,30,0,0,0,3,3.857142857142857,0.0
2020-03-06,1,31,0,0,0,3,4.0,0.0
2020-03-07,3,34,0,0,0,3,4.428571428571429,0.0
2020-03-08,5,39,0,0,0,3,5.142857142857143,0.0
2020-03-09,9,48,0,0,0,3,6.142857142857143,0.0
2020-03-10,15,63,0,0,1,4,8.142857142857142,0.0
2020-03-11,8,71,0,0,0,4,6.142857142857143,0.0
2020-03-12,10,81,1,1,0,4,7.285714285714286,0.14285714285714285
2020-03-13,10,91,0,1,6,10,8.571428571428571,0.14285714285714285
2020-03-14,11,102,1,2,0,10,9.714285714285714,0.2857142857142857
2020-03-15,10,112,0,2,3,13,10.428571428571429,0.2857142857142857
2020-03-16,14,126,0,2,1,14,11.142857142857142,0.2857142857142857
2020-03-17,20,146,1,3,1,15,11.857142857142858,0.42857142857142855
2020-03-18,25,171,0,3,0,15,14.285714285714286,0.42857142857142855
2020-03-19,27,198,1,4,5,20,16.714285714285715,0.42857142857142855
2020-03-20,58,256,0,4,3,23,23.571428571428573,0.42857142857142855
2020-03-21,78,334,0,4,0,23,33.142857142857146,0.2857142857142857
2020-03-22,69,403,3,7,0,23,41.57142857142857,0.7142857142857143
2020-03-23,94,497,2,9,2,25,53.0,1.0
2020-03-24,74,571,1,10,15,40,60.714285714285715,1.0
2020-03-25,86,657,1,11,3,43,69.42857142857143,1.1428571428571428
2020-03-26,73,730,5,16,7,50,76.0,1.7142857142857142
