state,state_name,2020-03-14_cases,2020-03-15_cases,2020-03-16_cases,2020-03-17_cases,2020-03-18_cases,2020-03-19_cases,2020-03-20_cases,2020-03-21_cases,2020-03-22_cases,2020-03-23_cases,2020-03-24_cases,2020-03-25_cases,2020-03-26_cases,2020-03-27_cases,2020-03-28_cases,2020-03-29_cases,2020-03-30_cases,2020-03-31_cases,2020-04-01_cases,2020-04-02_cases,2020-04-03_cases,2020-04-04_cases,2020-04-05_cases,2020-04-06_cases,2020-04-07_cases,2020-04-08_cases,2020-04-09_cases,2020-04-10_cases,2020-04-11_cases,2020-04-12_cases,2020-04-13_cases,2020-04-14_cases,2020-04-15_cases,2020-04-16_cases,2020-04-17_cases,2020-04-18_cases,2020-04-19_cases,2020-04-20_cases,2020-04-21_cases,2020-04-22_cases,2020-04-23_cases,2020-04-24_cases,2020-04-25_cases,2020-04-26_cases,2020-04-27_cases,2020-04-28_cases,2020-04-29_cases,2020-04-30_cases,2020-05-01_cases,2020-05-02_cases,2020-05-03_cases,2020-05-04_cases,2020-05-05_cases,2020-05-06_cases,2020-05-07_cases,2020-05-08_cases,2020-05-09_cases,2020-05-10_cases,2020-05-11_cases,2020-05-12_cases,2020-05-13_cases,2020-05-14_cases,2020-05-15_cases,2020-05-16_cases,2020-05-17_cases,2020-05-18_cases,2020-03-14_deaths,2020-03-15_deaths,2020-03-16_deaths,2020-03-17_deaths,2020-03-18_deaths,2020-03-19_deaths,2020-03-20_deaths,2020-03-21_deaths,2020-03-22_deaths,2020-03-23_deaths,2020-03-24_deaths,2020-03-25_deaths,2020-03-26_deaths,2020-03-27_deaths,2020-03-28_deaths,2020-03-29_deaths,2020-03-30_deaths,2020-03-31_deaths,2020-04-01_deaths,2020-04-02_deaths,2020-04-03_deaths,2020-04-04_deaths,2020-04-05_deaths,2020-04-06_deaths,2020-04-07_deaths,2020-04-08_deaths,2020-04-09_deaths,2020-04-10_deaths,2020-04-11_deaths,2020-04-12_deaths,2020-04-13_deaths,2020-04-14_deaths,2020-04-15_deaths,2020-04-16_deaths,2020-04-17_deaths,2020-04-18_deaths,2020-04-19_deaths,2020-04-20_deaths,2020-04-21_deaths,2020-04-22_deaths,2020-04-23_deaths,2020-04-24_deaths,2020-04-25_deaths,2020-04-26_deaths,2020-04-27_deaths,2020-04-28_deaths,2020-04-29_deaths,2020-04-30_deaths,2020-05-01_deaths,2020-05-02_deaths,2020-05-03_deaths,2020-05-04_deaths,2020-05-05_deaths,2020-05-06_deaths,2020-05-07_deaths,2020-05-08_deaths,2020-05-09_deaths,2020-05-10_deaths,2020-05-11_deaths,2020-05-12_deaths,2020-05-13_deaths,2020-05-14_deaths,2020-05-15_deaths,2020-05-16_deaths,2020-05-17_deaths,2020-05-18_deaths,2020-03-14_testspm,2020-03-15_testspm,2020-03-16_testspm,2020-03-17_testspm,2020-03-18_testspm,2020-03-19_testspm,2020-03-20_testspm,2020-03-21_testspm,2020-03-22_testspm,2020-03-23_testspm,2020-03-24_testspm,2020-03-25_testspm,2020-03-26_testspm,2020-03-27_testspm,2020-03-28_testspm,2020-03-29_testspm,2020-03-30_testspm,2020-03-31_testspm,2020-04-01_testspm,2020-04-02_testspm,2020-04-03_testspm,2020-04-04_testspm,2020-04-05_testspm,2020-04-06_testspm,2020-04-07_testspm,2020-04-08_testspm,2020-04-09_testspm,2020-04-10_testspm,2020-04-11_testspm,2020-04-12_testspm,2020-04-13_testspm,2020-04-14_testspm,2020-04-15_testspm,2020-04-16_testspm,2020-04-17_testspm,2020-04-18_testspm,2020-04-19_testspm,2020-04-20_testspm,2020-04-21_testspm,2020-04-22_testspm,2020-04-23_testspm,2020-04-24_testspm,2020-04-25_testspm,2020-04-26_testspm,2020-04-27_testspm,2020-04-28_testspm,2020-04-29_testspm,2020-04-30_testspm,2020-05-01_testspm,2020-05-02_testspm,2020-05-03_testspm,2020-05-04_testspm,2020-05-05_testspm,2020-05-06_testspm,2020-05-07_testspm,2020-05-08_testspm,2020-05-09_testspm,2020-05-10_testspm,2020-05-11_testspm,2020-05-12_testspm,2020-05-13_testspm,2020-05-14_testspm,2020-05-15_testspm,2020-05-16_testspm,2020-05-17_testspm,2020-05-18_testspm,2020-03-14_ntod,2020-03-15_ntod,2020-03-16_ntod,2020-03-17_ntod,2020-03-18_ntod,2020-03-19_ntod,2020-03-20_ntod,2020-03-21_ntod,2020-03-22_ntod,2020-03-23_ntod,2020-03-24_ntod,2020-03-25_ntod,2020-03-26_ntod,2020-03-27_ntod,2020-03-28_ntod,2020-03-29_ntod,2020-03-30_ntod,2020-03-31_ntod,2020-04-01_ntod,2020-04-02_ntod,2020-04-03_ntod,2020-04-04_ntod,2020-04-05_ntod,2020-04-06_ntod,2020-04-07_ntod,2020-04-08_ntod,2020-04-09_ntod,2020-04-10_ntod,2020-04-11_ntod,2020-04-12_ntod,2020-04-13_ntod,2020-04-14_ntod,2020-04-15_ntod,2020-04-16_ntod,2020-04-17_ntod,2020-04-18_ntod,2020-04-19_ntod,2020-04-20_ntod,2020-04-21_ntod,2020-04-22_ntod,2020-04-23_ntod,2020-04-24_ntod,2020-04-25_ntod,2020-04-26_ntod,2020-04-27_ntod,2020-04-28_ntod,2020-04-29_ntod,2020-04-30_ntod,2020-05-01_ntod,2020-05-02_ntod,2020-05-03_ntod,2020-05-04_ntod,2020-05-05_ntod,2020-05-06_ntod,2020-05-07_ntod,2020-05-08_ntod,2020-05-09_ntod,2020-05-10_ntod,2020-05-11_ntod,2020-05-12_ntod,2020-05-13_ntod,2020-05-14_ntod,2020-05-15_ntod,2020-05-16_ntod,2020-05-17_ntod,2020-05-18_ntod
AN,Andaman and Nicobar Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,14.0,15.0,16.0,17.0,18.0,22.0,29.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3686.47,3686.47,3686.47,3686.47,3686.47,3686.47,3686.47,7039.24,7039.24,7039.24,7483.3,7483.3,7483.3,7483.3,9863.87,9863.87,9863.87,9863.87,9863.87,9863.87,9863.87,9863.87,9863.87,9863.87,9863.87,9863.87,9863.87,9863.87,9863.87,17544.23,17544.23,17544.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP,Andhra Pradesh,1.0,1.0,1.0,1.0,1.0,3.0,3.0,5.0,6.0,7.0,8.0,10.0,11.0,13.0,19.0,21.0,23.0,44.0,111.0,149.0,164.0,192.0,256.0,303.0,314.0,348.0,363.0,381.0,405.0,420.0,439.0,484.0,525.0,534.0,572.0,603.0,647.0,722.0,757.0,813.0,893.0,955.0,1016.0,1097.0,1177.0,1259.0,1332.0,1403.0,1463.0,1525.0,1583.0,1650.0,1717.0,1777.0,1833.0,1887.0,1930.0,1980.0,2018.0,2089.0,2137.0,2205.0,2289.0,2337.0,2362.0,2414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,4.0,4.0,6.0,6.0,6.0,7.0,7.0,11.0,14.0,14.0,14.0,16.0,17.0,20.0,22.0,24.0,27.0,29.0,31.0,31.0,31.0,31.0,31.0,31.0,33.0,33.0,33.0,33.0,34.0,36.0,38.0,41.0,44.0,45.0,45.0,46.0,47.0,48.0,48.0,49.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.45,36.45,36.45,36.45,36.45,36.45,36.45,36.45,129.08,140.91,140.91,177.3,212.74,235.18,409.79,409.79,434.4,545.94,622.39,724.1,840.69,972.73,1100.43,1240.74,1377.8,1509.78,1626.89,1783.38,1914.95,2074.98,2195.34,2327.66,2536.09,2703.43,2861.03,3024.8,3173.04,3342.91,3518.41,3668.46,3885.76,4074.54,4261.99,4445.03,4445.03,4840.1,5038.01,,,,,,,,,,,,,,,,,,,3.64,3.74,3.8,3.16,3.43,4.1,7.52,7.42,9.83,12.21,13.65,13.58,15.36,13.5,12.34,18.23,16.43,15.92,16.47,16.03,10.8,10.73,9.58,9.68,10.65,9.53,9.56,10.14,10.53,10.96,12.47,13.84,15.49,16.38,17.19,17.92,19.04,20.11,22.91,24.85,28.11,27.65,28.98,27.25,25.54,24.92,33.94,34.21
AR,Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.14,122.14,122.14,122.14,122.14,166.01,166.01,166.01,215.22,230.64,230.64,260.28,269.17,294.08,294.08,311.86,311.86,336.76,346.25,361.66,392.5,411.47,429.25,429.25,480.24,515.22,575.11,616.02,678.27,802.78,946.85,1080.84,1232.03,1338.16,1472.15,1587.18,1744.29,1875.32,1985.6,2171.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS,Assam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,16.0,23.0,26.0,26.0,26.0,28.0,28.0,29.0,29.0,29.0,30.0,32.0,33.0,33.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,36.0,36.0,36.0,36.0,36.0,38.0,38.0,43.0,43.0,43.0,43.0,43.0,45.0,46.0,54.0,60.0,62.0,63.0,65.0,65.0,80.0,87.0,87.0,90.0,98.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.52,28.52,28.52,28.52,28.52,28.52,28.52,28.52,84.87,89.25,93.02,93.02,103.48,107.1,121.77,125.56,130.43,144.21,151.53,163.45,163.45,163.45,198.01,212.21,231.89,240.61,240.61,282.19,282.19,282.19,344.53,344.53,378.68,398.45,398.45,398.45,398.45,479.23,533.62,580.66,645.93,645.93,765.48,835.26,927.09,1018.98,1123.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.76,21.38,19.51,,,,,,,
BR,Bihar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,7.0,9.0,11.0,15.0,15.0,21.0,24.0,29.0,31.0,32.0,32.0,32.0,38.0,39.0,58.0,60.0,64.0,64.0,66.0,66.0,72.0,83.0,85.0,86.0,96.0,113.0,126.0,143.0,170.0,223.0,251.0,277.0,346.0,366.0,403.0,425.0,466.0,481.0,517.0,528.0,535.0,542.0,550.0,579.0,611.0,707.0,749.0,879.0,953.0,999.0,1033.0,1178.0,1320.0,1423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,6.0,7.0,7.0,7.0,8.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.25,29.25,29.25,44.27,48.07,52.56,60.2,64.56,69.96,74.43,79.59,85.21,91.37,97.57,103.5,109.03,115.58,125.01,132.78,143.75,153.01,164.14,175.1,190.62,204.01,218.38,232.31,247.78,259.6,273.03,277.32,282.49,287.44,292.05,303.92,314.69,333.87,360.53,377.09,392.82,410.77,427.09,440.47,452.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.73,,,,,,,,21.5,20.76,21.06,16.33,5.28,4.53,4.85,4.99,4.51,6.18,7.11,8.54,8.64,12.4,11.85,16.99,24.91,34.07,39.16,39.93,35.93,26.35,18.09,9.49,8.51,8.87,12.07,10.72,11.07,11.2
CH,Chandigarh,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,13.0,15.0,17.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,19.0,21.0,21.0,21.0,21.0,21.0,21.0,23.0,26.0,26.0,27.0,27.0,27.0,27.0,28.0,36.0,45.0,56.0,68.0,74.0,88.0,94.0,97.0,102.0,119.0,124.0,135.0,146.0,169.0,173.0,181.0,187.0,191.0,191.0,191.0,191.0,191.0,196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.49,117.49,117.49,117.49,117.49,117.49,174.33,174.33,211.28,250.13,264.34,280.45,292.77,300.35,319.3,339.19,360.98,407.41,429.2,470.89,501.21,567.53,604.48,695.44,716.28,798.71,875.46,958.83,1086.74,1186.22,1385.19,1531.1,1589.84,1623.0,1691.22,1748.07,1812.5,1947.04,2029.47,2062.63,2156.43,2292.86,2373.4,2450.14,2575.2,2664.27,2740.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33,4.16,4.41,5.89,9.67,11.71,10.97,13.54,13.07,10.43,8.62,13.64,13.34,15.96,20.74,,,,,
CT,Chhattisgarh,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,7.0,7.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0,18.0,18.0,25.0,31.0,31.0,33.0,33.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,37.0,37.0,37.0,38.0,38.0,40.0,43.0,43.0,57.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,60.0,66.0,67.0,85.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.62,43.62,43.62,43.62,43.62,43.62,43.62,43.62,122.97,136.6,139.68,154.98,170.38,181.36,195.42,204.52,204.52,236.35,269.14,292.89,326.46,366.33,403.15,446.0,488.13,530.66,557.21,585.86,621.09,638.72,638.72,704.69,704.69,755.0,785.63,785.63,836.65,867.71,895.18,895.18,968.02,1021.06,1051.51,1109.72,1157.06,1157.06,1296.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.75
DN,Dadra and Nagar Haveli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DL,Delhi,7.0,7.0,7.0,8.0,10.0,14.0,20.0,27.0,27.0,30.0,30.0,35.0,36.0,40.0,49.0,72.0,97.0,120.0,152.0,293.0,386.0,445.0,503.0,525.0,576.0,669.0,720.0,903.0,1069.0,1154.0,1510.0,1561.0,1578.0,1640.0,1707.0,1893.0,2003.0,2081.0,2156.0,2248.0,2376.0,2514.0,2625.0,2918.0,3108.0,3314.0,3439.0,3515.0,3738.0,4122.0,4549.0,4898.0,5104.0,5532.0,5980.0,6318.0,6542.0,6923.0,7233.0,7639.0,7998.0,8470.0,8895.0,9333.0,9755.0,10054.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,6.0,6.0,7.0,7.0,9.0,9.0,12.0,14.0,19.0,24.0,28.0,30.0,32.0,38.0,42.0,43.0,45.0,47.0,47.0,48.0,50.0,53.0,54.0,54.0,54.0,54.0,56.0,59.0,61.0,64.0,64.0,64.0,64.0,65.0,66.0,68.0,68.0,73.0,73.0,86.0,106.0,115.0,123.0,129.0,148.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.12,156.12,156.12,156.12,156.12,156.12,538.54,538.54,593.76,658.87,697.46,836.08,895.4,969.86,989.1,1118.9,1275.26,1327.32,1452.65,1542.77,1586.08,1686.27,1820.35,2005.73,2115.74,2240.48,2377.36,2583.4,2813.03,2813.03,2813.03,3467.37,3588.65,3818.69,4041.71,4284.86,4600.56,4846.75,5017.05,5587.94,5818.34,6320.55,6751.57,7132.26,7457.08,7793.99,8088.6,8323.06,,,,,,,,,,,,,,,,8.18,7.75,3.48,2.75,2.27,2.42,2.93,3.41,6.06,7.34,7.77,8.68,8.16,5.74,6.06,5.65,7.93,20.12,22.9,24.55,25.37,23.65,14.48,14.8,14.66,15.82,15.82,15.4,12.8,11.68,11.33,12.62,15.75,16.7,15.92,15.16,13.3,10.32,9.79,10.15,11.26,13.37,12.45,13.89,14.65,15.15,13.59,13.97,13.69,14.29,15.86
GA,Goa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,15.0,15.0,20.0,29.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.92,150.92,150.92,150.92,150.92,150.92,150.92,235.98,242.84,242.84,278.52,301.84,328.59,381.42,419.15,461.68,519.99,566.64,618.09,688.75,765.58,827.32,827.32,827.32,827.32,1057.13,1218.34,1283.51,1393.27,1496.17,1627.2,1747.93,1988.72,2123.86,2339.95,2339.95,2840.05,3103.47,3325.73,3640.61,3640.61,3640.61,4620.91,5010.55,5495.56,6026.52,6026.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
