player,season,team,runs_scored,bat_avg,bat_sr
Carey,2018,Adelaide Strikers,412.0,37.45,141.58
Head,2018,Adelaide Strikers,362.0,45.25,135.58
Ingram,2018,Adelaide Strikers,229.0,20.82,137.95
Weatherald,2018,Adelaide Strikers,383.0,31.92,127.24
Brendon McCullum,2018,Brisbane Heat,248.0,24.8,135.52
Burns,2018,Brisbane Heat,201.0,28.71,143.57
Cutting,2018,Brisbane Heat,184.0,20.44,148.39
Ross,2018,Brisbane Heat,209.0,23.22,122.22
Bailey,2018,Hobart Hurricanes,202.0,18.36,114.77
Ben McDermott,2018,Hobart Hurricanes,325.0,27.08,140.09
Christian,2018,Hobart Hurricanes,212.0,21.2,150.35
Doolan,2018,Hobart Hurricanes,186.0,23.25,116.25
Wade,2018,Hobart Hurricanes,251.0,25.1,137.16
Cameron White,2018,Melbourne Renegades,294.0,36.75,114.4
Marcus Harris,2018,Melbourne Renegades,324.0,29.45,129.08
Tom Cooper,2018,Melbourne Renegades,298.0,33.11,140.57
Faulkner,2018,Melbourne Stars,172.0,21.5,104.24
Maxwell,2018,Melbourne Stars,299.0,33.22,153.33
Pietersen,2018,Melbourne Stars,180.0,25.71,133.33
Stoinis,2018,Melbourne Stars,179.0,35.8,144.35
Bancroft,2018,Perth Scorchers,199.0,39.8,130.92
Cartwright,2018,Perth Scorchers,249.0,22.64,113.7
Klinger,2018,Perth Scorchers,195.0,19.5,109.55
Turner,2018,Perth Scorchers,246.0,22.36,160.78
Voges,2018,Perth Scorchers,168.0,16.8,118.31
Daniel Hughes,2018,Sydney Sixers,225.0,28.12,113.07
Maddinson,2018,Sydney Sixers,291.0,29.1,144.78
Silk,2018,Sydney Sixers,156.0,39.0,130.0
Buttler,2018,Sydney Thunder,177.0,44.25,151.28
Watson,2018,Sydney Thunder,239.0,29.88,137.36
D'Arcy Short,2018,Hobart Hurricanes,568.0,51.64,148.69
