player,season,team,wickets,bowl_econ,bowl_sr
Laughlin,2018,Adelaide Strikers,15.0,8.15,16.0
Neser,2018,Adelaide Strikers,10.0,9.27,22.2
Rashid Khan,2018,Adelaide Strikers,16.0,5.65,15.12
Siddle,2018,Adelaide Strikers,9.0,6.27,22.0
Stanlake,2018,Adelaide Strikers,10.0,6.5,20.5
Doggett,2018,Brisbane Heat,7.0,9.5,20.57
Lalor,2018,Brisbane Heat,7.0,8.35,19.0
Steketee,2018,Brisbane Heat,10.0,9.03,21.4
Christian,2018,Hobart Hurricanes,9.0,8.98,19.89
Clive Rose,2018,Hobart Hurricanes,7.0,7.97,28.29
Jofra Archer,2018,Hobart Hurricanes,16.0,7.65,15.5
B Hogg,2018,Melbourne Renegades,7.0,8.04,24.0
Dwayne Bravo,2018,Melbourne Renegades,18.0,8.45,14.28
Kane Richardson,2018,Melbourne Renegades,12.0,8.05,19.5
Nabi,2018,Melbourne Renegades,7.0,5.77,22.29
Tremain,2018,Melbourne Renegades,7.0,7.93,12.86
Wildermuth,2018,Melbourne Renegades,10.0,8.18,22.8
Hastings,2018,Melbourne Stars,8.0,8.68,22.38
Agar,2018,Perth Scorchers,8.0,5.74,26.25
Andrew Tye,2018,Perth Scorchers,16.0,8.11,8.88
Bresnan,2018,Perth Scorchers,8.0,9.81,13.0
Jhye Richardson,2018,Perth Scorchers,7.0,8.94,26.57
Johnson,2018,Perth Scorchers,7.0,6.32,34.43
Kelly,2018,Perth Scorchers,8.0,7.0,14.25
Willey,2018,Perth Scorchers,7.0,8.23,18.86
Abbott,2018,Sydney Sixers,13.0,8.27,13.62
Dwarshuis,2018,Sydney Sixers,7.0,6.97,24.86
Lyon,2018,Sydney Sixers,7.0,5.88,13.71
Arjun Nair,2018,Sydney Thunder,8.0,7.44,16.12
Fawad Ahmed,2018,Sydney Thunder,8.0,6.12,25.5
Gurinder Sandhu,2018,Sydney Thunder,7.0,8.63,18.57
McClenaghan,2018,Sydney Thunder,10.0,9.23,20.6
