player,season,team,wickets,bowl_econ,bowl_sr
A Hughes,2018,Derbyshire,16.0,8.19,14.06
Lockie Ferguson,2018,Derbyshire,15.0,6.6,18.0
Rampaul,2018,Derbyshire,13.0,8.69,18.15
Riaz,2018,Derbyshire,15.0,6.98,17.2
Viljoen,2018,Derbyshire,12.0,7.47,16.0
Collingwood,2018,Durham,10.0,7.67,25.2
James Weighell,2018,Durham,13.0,8.67,16.62
Rimmington,2018,Durham,22.0,8.88,12.41
Rushworth,2018,Durham,11.0,7.47,23.45
Tahir,2018,Durham,14.0,6.34,13.71
Zampa,2018,Essex,9.0,7.96,18.33
Hogan,2018,Glamorgan,13.0,8.82,20.77
Ruaidhri Smith,2018,Glamorgan,9.0,7.5,16.0
Salter,2018,Glamorgan,11.0,7.7,20.18
Wagg,2018,Glamorgan,14.0,8.72,16.21
van der Gugten,2018,Glamorgan,19.0,9.6,13.26
Benny Howell,2018,Gloucestershire,17.0,7.82,14.76
Payne,2018,Gloucestershire,18.0,8.33,15.72
Ryan Higgins,2018,Gloucestershire,9.0,9.74,21.22
Tye,2018,Gloucestershire,12.0,7.13,19.0
C Wood,2018,Hampshire,14.0,7.6,16.36
Dawson,2018,Hampshire,9.0,6.72,28.89
Mujeeb,2018,Hampshire,7.0,6.95,34.43
Ryan Stevenson,2018,Hampshire,7.0,9.21,22.14
Brathwaite,2018,Kent,9.0,7.67,10.0
Claydon,2018,Kent,7.0,9.93,23.14
Denly,2018,Kent,19.0,7.57,13.05
Haggett,2018,Kent,9.0,9.25,21.33
Imran Qayyum,2018,Kent,7.0,8.21,26.0
Milne,2018,Kent,13.0,6.88,17.31
Faulkner,2018,Lancashire,20.0,7.68,14.1
J Clark,2018,Lancashire,7.0,8.69,20.43
Parkinson,2018,Lancashire,24.0,7.3,14.21
Toby Lester,2018,Lancashire,15.0,8.87,15.07
Zahir Khan,2018,Lancashire,9.0,6.94,17.78
Ben Raine,2018,Leicestershire,10.0,10.61,22.9
Callum Parkinson,2018,Leicestershire,15.0,7.66,16.87
Mohammad Abbas,2018,Leicestershire,7.0,8.92,26.71
Nabi,2018,Leicestershire,9.0,7.23,29.78
Zak Chappell,2018,Leicestershire,12.0,9.4,18.08
Agar,2018,Middlesex,9.0,9.38,14.78
Finn,2018,Middlesex,9.0,9.39,15.33
Helm,2018,Middlesex,7.0,8.0,15.43
J Fuller,2018,Middlesex,15.0,11.05,16.07
Tom Barber,2018,Middlesex,9.0,12.18,14.67
Buck,2018,Northamptonshire,8.0,8.95,24.88
Kleinveldt,2018,Northamptonshire,7.0,11.35,22.29
Prasanna,2018,Northamptonshire,9.0,8.22,28.22
Richard Gleeson,2018,Northamptonshire,7.0,8.11,20.29
Sanderson,2018,Northamptonshire,7.0,10.22,25.0
Christian,2018,Nottinghamshire,10.0,9.88,21.2
Gurney,2018,Nottinghamshire,20.0,7.39,15.3
Ish Sodhi,2018,Nottinghamshire,19.0,8.17,17.05
Luke Fletcher,2018,Nottinghamshire,12.0,8.87,21.08
Mullaney,2018,Nottinghamshire,11.0,9.64,17.55
Samit Patel,2018,Nottinghamshire,8.0,9.18,32.12
Gregory,2018,Somerset,18.0,9.84,19.33
J Overton,2018,Somerset,24.0,10.03,13.17
Jerome Taylor,2018,Somerset,22.0,8.71,11.18
Max Waller,2018,Somerset,16.0,6.8,21.06
van der Merwe,2018,Somerset,12.0,8.45,29.58
Dernbach,2018,Surrey,10.0,8.14,23.6
Gareth Batty,2018,Surrey,11.0,7.89,19.64
Morne Morkel,2018,Surrey,11.0,9.14,15.27
Pillans,2018,Surrey,10.0,9.36,13.2
Rikki Clarke,2018,Surrey,13.0,8.09,18.08
Tom Curran,2018,Surrey,9.0,9.59,14.67
Briggs,2018,Sussex,18.0,7.11,15.0
Jofra Archer,2018,Sussex,22.0,7.89,13.41
Jordan,2018,Sussex,12.0,7.85,17.83
Rashid Khan,2018,Sussex,15.0,6.57,14.13
Tymal Mills,2018,Sussex,7.0,7.81,21.29
Wiese,2018,Sussex,7.0,9.45,25.86
Will Beer,2018,Sussex,7.0,7.51,14.71
Brookes,2018,Warwickshire,7.0,8.45,17.14
Elliott,2018,Warwickshire,19.0,7.6,13.58
Hannon-Dalby,2018,Warwickshire,16.0,9.36,12.06
Jeetan Patel,2018,Warwickshire,10.0,7.56,31.2
Olly Stone,2018,Warwickshire,7.0,6.38,13.71
Thomason,2018,Warwickshire,9.0,11.16,17.56
Barnard,2018,Worcestershire,12.0,8.94,25.83
Brett DOliveira,2018,Worcestershire,8.0,8.41,24.0
Luke Wood,2018,Worcestershire,8.0,8.02,30.5
Mitchell,2018,Worcestershire,9.0,7.71,20.67
Moeen Ali,2018,Worcestershire,11.0,8.47,17.0
Parnell,2018,Worcestershire,14.0,7.92,13.86
Patrick Brown,2018,Worcestershire,31.0,7.55,10.58
Pennington,2018,Worcestershire,7.0,7.15,10.43
Brooks,2018,Yorkshire,9.0,7.65,23.0
Fisher,2018,Yorkshire,7.0,10.14,19.86
Jordan Thompson,2018,Yorkshire,8.0,8.29,17.38
Patterson,2018,Yorkshire,12.0,7.94,21.08
Rafiq,2018,Yorkshire,8.0,9.03,27.75
Willey,2018,Yorkshire,9.0,8.39,23.44
