player,season,team,runs_scored,bat_avg,bat_sr
Anamul,2018,Chittagong Vikings,206.0,25.75,127.95
Raza,2018,Chittagong Vikings,278.0,27.8,153.59
Ronchi,2018,Chittagong Vikings,321.0,29.18,168.06
Soumya Sarkar,2018,Chittagong Vikings,169.0,15.36,98.26
van Zyl,2018,Chittagong Vikings,171.0,28.5,137.9
Buttler,2018,Comilla Victorians,221.0,17.0,108.87
Kayes,2018,Comilla Victorians,299.0,21.36,105.28
Liton Das,2018,Comilla Victorians,261.0,21.75,124.29
Samuels,2018,Comilla Victorians,284.0,28.4,123.48
Shoaib Malik,2018,Comilla Victorians,212.0,23.56,118.44
Tamim,2018,Comilla Victorians,332.0,33.2,131.75
Denly,2018,Dhaka Dynamites,182.0,30.33,101.68
Jahurul Islam,2018,Dhaka Dynamites,174.0,19.33,120.83
Lewis,2018,Dhaka Dynamites,371.0,30.92,146.06
Narine,2018,Dhaka Dynamites,204.0,20.4,145.71
Pollard,2018,Dhaka Dynamites,232.0,23.2,163.38
A Haque,2018,Khulna Titans,237.0,21.55,133.15
Brathwaite,2018,Khulna Titans,250.0,20.83,183.82
Hossain Shanto,2018,Khulna Titans,207.0,17.25,115.0
Klinger,2018,Khulna Titans,154.0,22.0,97.47
Mahmudullah,2018,Khulna Titans,312.0,26.0,130.54
Rossouw,2018,Khulna Titans,187.0,20.78,130.77
Rahim,2018,Rajshahi Kings,163.0,18.11,128.35
Zakir Hasan,2018,Rajshahi Kings,170.0,21.25,142.86
Bopara,2018,Rangpur Riders,228.0,20.73,104.11
Brendon McCullum,2018,Rangpur Riders,280.0,25.45,118.14
Gayle,2018,Rangpur Riders,485.0,44.09,176.36
Mithun,2018,Rangpur Riders,281.0,25.55,115.16
Andre Fletcher,2018,Sylhet Sixers,237.0,26.33,118.5
Sabbir Rahman,2018,Sylhet Sixers,188.0,23.5,126.17
