player,season,team,wickets,bowl_econ,bowl_sr
Reece,2018,Chittagong Vikings,7.0,7.05,18.0
Sunzamul Islam,2018,Chittagong Vikings,11.0,6.68,17.55
Taskin Ahmed,2018,Chittagong Vikings,14.0,9.2,14.21
Al-Amin,2018,Comilla Victorians,11.0,8.72,22.45
Dwayne Bravo,2018,Comilla Victorians,10.0,8.08,14.4
Hasan Ali,2018,Comilla Victorians,16.0,6.92,13.06
Mahedi Hasan,2018,Comilla Victorians,10.0,7.75,19.9
Saifuddin,2018,Comilla Victorians,16.0,7.95,15.75
Abu Hider,2018,Dhaka Dynamites,13.0,7.74,15.38
Afridi,2018,Dhaka Dynamites,14.0,6.71,12.07
Narine,2018,Dhaka Dynamites,10.0,5.11,23.7
Shakib,2018,Dhaka Dynamites,19.0,7.02,12.37
Abu Jayed,2018,Khulna Titans,18.0,8.95,13.67
Jofra Archer,2018,Khulna Titans,10.0,6.91,20.4
Shafiul,2018,Khulna Titans,12.0,8.42,16.08
Franklin,2018,Rajshahi Kings,7.0,9.24,18.0
Mehidy Hasan,2018,Rajshahi Kings,9.0,6.61,24.0
Sami,2018,Rajshahi Kings,11.0,6.9,17.64
Bopara,2018,Rangpur Riders,8.0,7.41,12.75
Gazi,2018,Rangpur Riders,11.0,6.84,20.18
Mortaza,2018,Rangpur Riders,14.0,6.71,21.0
Nazmul Islam,2018,Rangpur Riders,10.0,6.65,15.6
Perera,2018,Rangpur Riders,8.0,8.5,16.5
Rubel,2018,Rangpur Riders,15.0,8.29,15.2
Abul Hasan,2018,Sylhet Sixers,7.0,8.29,20.57
Nasir Hossain,2018,Sylhet Sixers,12.0,7.14,14.0
