player,season,team,runs_scored,bat_avg,bat_sr
Holder,2018,Barbados Tridents,165.0,20.62,139.83
Pooran,2018,Barbados Tridents,214.0,26.75,141.72
Shai Hope,2018,Barbados Tridents,215.0,23.89,134.38
Hetmyer,2018,Guyana Amazon Warriors,376.0,41.78,155.37
Rutherford,2018,Guyana Amazon Warriors,159.0,26.5,140.71
Glenn Phillips,2018,Jamaica Tallawahs,295.0,36.88,138.5
Kennar Lewis,2018,Jamaica Tallawahs,158.0,26.33,139.82
Powell,2018,Jamaica Tallawahs,232.0,33.14,163.38
Ross Taylor,2018,Jamaica Tallawahs,186.0,26.57,136.76
Gayle,2018,St Kitts and Nevis Patriots,248.0,31.0,127.84
Thomas,2018,St Kitts and Nevis Patriots,173.0,34.6,142.98
Andre Fletcher,2018,St Lucia Stars,241.0,30.12,117.56
Pollard,2018,St Lucia Stars,305.0,38.12,154.04
Warner,2018,St Lucia Stars,178.0,22.25,116.34
Brendon McCullum,2018,Trinbago Knight Riders,195.0,21.67,139.29
Darren Bravo,2018,Trinbago Knight Riders,196.0,21.78,108.29
Dwayne Bravo,2018,Trinbago Knight Riders,162.0,20.25,174.19
Munro,2018,Trinbago Knight Riders,395.0,32.92,131.67
Ramdin,2018,Trinbago Knight Riders,234.0,29.25,130.0
