player,season,team,wickets,bowl_econ,bowl_sr
Irfan,2018,Barbados Tridents,8.0,6.57,17.25
R Reifer,2018,Barbados Tridents,8.0,10.42,9.0
Chris Green,2018,Guyana Amazon Warriors,9.0,5.79,22.44
Emrit,2018,Guyana Amazon Warriors,8.0,9.26,21.88
Tahir,2018,Guyana Amazon Warriors,10.0,6.11,22.2
Tanvir,2018,Guyana Amazon Warriors,9.0,7.91,22.67
A Russell,2018,Jamaica Tallawahs,8.0,9.0,15.75
Thomas,2018,Jamaica Tallawahs,12.0,7.78,14.58
Zampa,2018,Jamaica Tallawahs,9.0,8.93,14.78
Cottrell,2018,St Kitts and Nevis Patriots,9.0,7.57,16.11
Cutting,2018,St Kitts and Nevis Patriots,7.0,8.29,21.0
Kesrick Williams,2018,St Lucia Stars,9.0,8.33,12.0
Obed McCoy,2018,St Lucia Stars,8.0,7.13,12.62
Qais Ahmad,2018,St Lucia Stars,7.0,6.99,14.71
Ali Khan,2018,Trinbago Knight Riders,14.0,8.07,14.93
Bravo,2018,Trinbago Knight Riders,10.0,11.46,22.2
Fawad Ahmed,2018,Trinbago Knight Riders,19.0,6.0,12.95
K Pierre,2018,Trinbago Knight Riders,8.0,5.36,16.5
Narine,2018,Trinbago Knight Riders,7.0,6.52,33.0
