player,season,team,runs_scored,bat_avg,bat_sr
Asif Ali,2018,Islamabad United,164.0,20.5,151.85
Duminy,2018,Islamabad United,196.0,28.0,100.0
Ronchi,2018,Islamabad United,265.0,33.12,169.87
Talat,2018,Islamabad United,165.0,18.33,127.91
Babar Azam,2018,Karachi Kings,341.0,34.1,121.35
Denly,2018,Karachi Kings,320.0,32.0,126.48
Ingram,2018,Karachi Kings,209.0,20.9,139.33
Fakhar Zaman,2018,Lahore Qalandars,218.0,27.25,152.45
Maqsood,2018,Multan Sultans,177.0,22.12,123.78
Sangakkara,2018,Multan Sultans,212.0,26.5,128.48
Shehzad,2018,Multan Sultans,173.0,21.62,87.37
Shoaib Malik,2018,Multan Sultans,182.0,26.0,121.33
Dwayne Smith,2018,Peshawar Zalmi,205.0,29.29,125.77
Hafeez,2018,Peshawar Zalmi,211.0,21.1,122.67
Kamran Akmal,2018,Peshawar Zalmi,415.0,34.58,152.57
Rossouw,2018,Quetta Gladiators,182.0,22.75,129.08
Sarfraz,2018,Quetta Gladiators,212.0,26.5,129.27
Watson,2018,Quetta Gladiators,318.0,35.33,137.66
