player,season,team,wickets,bowl_econ,bowl_sr
Faheem Ashraf,2018,Islamabad United,13.0,7.34,15.46
Sami,2018,Islamabad United,9.0,6.65,22.67
Samit Patel,2018,Islamabad United,10.0,7.31,13.3
Shadab Khan,2018,Islamabad United,7.0,6.74,31.14
Afridi,2018,Karachi Kings,12.0,5.88,12.0
Amir,2018,Karachi Kings,7.0,6.46,20.57
Mohammad Irfan,2018,Karachi Kings,8.0,9.5,16.5
Usman Khan,2018,Karachi Kings,13.0,6.93,11.38
Narine,2018,Lahore Qalandars,7.0,6.55,18.86
Yasir Shah,2018,Lahore Qalandars,7.0,7.62,23.29
Irfan,2018,Multan Sultans,8.0,6.51,25.12
Tahir,2018,Multan Sultans,12.0,6.93,14.58
Umar Gul,2018,Multan Sultans,8.0,6.25,6.0
Hasan Ali,2018,Peshawar Zalmi,12.0,7.66,17.17
Liam Dawson,2018,Peshawar Zalmi,8.0,8.34,21.75
Riaz,2018,Peshawar Zalmi,14.0,6.98,18.86
U Asif,2018,Peshawar Zalmi,13.0,6.92,21.0
Anwar Ali,2018,Quetta Gladiators,7.0,7.0,20.57
Rahat Ali,2018,Quetta Gladiators,14.0,7.45,16.5
Watson,2018,Quetta Gladiators,7.0,8.1,26.57
