ball_id,we,bat_impact,bowl_impact
0,0.5,0,0
1,0.47,0,0
2,0.46,0,0
3,0.47,0,0
4,0.47,0,0
5,0.46,0,0
6,0.45,0,0
7,0.45,0,0
8,0.45,0,0
9,0.45,0,0
10,0.45,0,0
11,0.45,0,0
12,0.44,0,0
13,0.46,0,0
14,0.46,0,0
15,0.46,0,0
16,0.46,0,0
17,0.45,0,0
18,0.45,0,0
19,0.44,0,0
20,0.44,0,0
21,0.45,0,0
22,0.45,0,0
23,0.46,0,0
24,0.46,0,0
25,0.46,0,0
26,0.46,0,0
27,0.47,0,0
28,0.47,0,0
29,0.47,0,0
30,0.47,0,0
31,0.49,0,0
32,0.49,0,0
33,0.5,0,0
34,0.5,0,0
35,0.5,0,0
36,0.51,0,0
37,0.51,0,0
38,0.51,0,0
39,0.52,0,0
40,0.52,0,0
41,0.52,0,0
42,0.53,0,0
43,0.53,0,0
44,0.5,0,0
45,0.5,0,0
46,0.5,0,0
47,0.5,0,0
48,0.47,0,0
49,0.47,0,0
50,0.47,0,0
51,0.48,0,0
52,0.48,0,0
53,0.47,0,0
54,0.47,0,0
55,0.47,0,0
56,0.47,0,0
57,0.48,0,0
58,0.48,0,0
59,0.48,0,0
60,0.48,0,0
61,0.5,0,0
62,0.51,0,0
63,0.51,0,0
64,0.48,0,0
65,0.47,0,0
66,0.47,0,0
67,0.47,0,0
68,0.46,0,0
69,0.46,0,0
70,0.46,0,0
71,0.45,0,0
72,0.45,0,0
73,0.45,0,0
74,0.45,0,0
75,0.46,0,0
76,0.46,0,0
77,0.46,0,0
78,0.45,0,0
79,0.45,0,0
80,0.45,0,0
81,0.45,0,0
82,0.45,0,0
83,0.45,0,0
84,0.45,0,0
85,0.45,0,0
86,0.45,0,0
87,0.46,0,0
88,0.47,0,0
89,0.47,0,0
90,0.47,0,0
91,0.47,0,0
92,0.45,0,0
93,0.46,0,0
94,0.46,0,0
95,0.46,0,0
96,0.46,0,0
97,0.46,0,0
98,0.46,0,0
99,0.45,0,0
100,0.45,0,0
101,0.45,0,0
102,0.42,0,0
103,0.42,0,0
104,0.42,0,0
105,0.42,0,0
106,0.42,0,0
107,0.43,0,0
108,0.43,0,0
109,0.43,0,0
110,0.45,1,0
111,0.4,0,0
112,0.4,1,0
113,0.42,1,0
114,0.41,1,0
115,0.42,1,0
116,0.43,1,0
117,0.44,0,0
118,0.45,0,0
119,0.46,1,0
120,0.47,1,0
121,0.46,1,0
122,0.47,1,0
123,0.47,1,0
124,0.49,0,0
125,0.49,0,0
126,0.49,0,0
127,0.49,0,0
128,0.49,0,0
129,0.49,0,0
130,0.49,0,0
131,0.48,0,0
132,0.49,0,0
133,0.49,0,0
134,0.49,0,0
135,0.47,0,0
136,0.46,0,0
137,0.45,0,0
138,0.44,0,0
139,0.43,0,0
140,0.42,0,0
141,0.42,0,0
142,0.41,0,0
143,0.44,0,0
144,0.43,0,0
145,0.43,0,0
146,0.43,0,0
147,0.43,0,0
148,0.44,0,0
149,0.44,0,0
150,0.42,0,0
151,0.43,0,0
152,0.4,0,0
153,0.4,0,0
154,0.37,0,0
155,0.37,0,0
156,0.38,0,0
157,0.38,0,0
158,0.38,0,0
159,0.38,0,0
160,0.39,0,1
161,0.38,0,1
162,0.39,0,1
163,0.39,0,1
164,0.4,0,1
165,0.39,0,1
166,0.39,0,0
167,0.39,0,0
168,0.37,0,0
169,0.38,0,0
170,0.35,0,0
171,0.35,0,0
172,0.35,0,0
173,0.32,0,0
174,0.32,0,0
175,0.33,0,0
176,0.33,0,0
177,0.34,0,0
178,0.34,0,0
179,0.35,0,0
180,0.36,0,0
181,0.36,0,0
182,0.36,0,0
183,0.33,0,0
184,0.38,0,1
185,0.39,0,1
186,0.36,0,1
187,0.36,0,1
188,0.33,0,1
189,0.33,0,1
190,0.33,0,0
191,0.32,0,0
192,0.32,0,0
193,0.33,0,0
194,0.33,0,0
195,0.38,0,0
196,0.39,0,1
197,0.47,0,1
198,0.48,0,1
199,0.48,0,1
200,0.48,0,1
201,0.48,0,1
202,0.48,0,0
203,0.48,0,0
204,0.5,0,0
205,0.47,0,0
206,0.47,0,0
207,0.49,0,0
208,0.49,0,1
209,0.51,0,1
210,0.53,0,1
211,0.64,0,1
212,0.66,0,1
213,0.68,0,1
214,0.68,0,0
215,0.71,0,0
216,0.72,0,0
217,0.68,0,0
218,0.67,0,0
219,0.67,0,0
220,0.56,0,0
221,0.55,0,0
222,0.57,0,0
223,0.57,0,0
224,0.61,0,0
225,0.61,0,0
226,0.64,0,0
227,0.66,0,0
228,0.67,0,0
229,0.69,0,0
230,0.72,0,0
231,0.76,0,0
232,0.69,0,0
233,0.81,0,0
234,0.85,0,0
235,0.9,0,0
236,0.93,0,0
237,0.95,0,0
238,0.81,0,0
239,0.76,0,0
240,0.9,0,0
241,0.96,0,0
242,1.0,0,0
243,1.0,0,0
