symbol,name,market_cap,close,IPOyear,Sector,Industry,trading_on,prev_close,year_low,year_high,volume,beta,pe_ratio,eps,av
ATVI,Activision Blizzard,46699438722,60.71,,Technology,Computer Software: Prepackaged Software,NASDAQ,58.47,41.84,64.53,10128828,0.76,30.5,1.95,0.3181
ADBE,Adobe,160628689302,332.38,1986.0,Technology,Computer Software: Prepackaged Software,NASDAQ,318.39,255.13,386.75,4191983,0.97,48.23,6.6,0.2662
AMD,Advanced Micro Devices,53079240504,45.38,,Technology,Semiconductors,NASDAQ,47.86,26.03,59.27,83483749,2.83,151.6,0.3,0.5842
ALXN,Alexion Pharmaceuticals,19669253468,88.84,1996.0,Health Care,Major Pharmaceuticals,NASDAQ,87.26,72.67,141.86,3039638,1.62,8.39,10.7,0.3802
ALGN,Align Technology,17968321214,228.16,2001.0,Health Care,Industrial Specialties,NASDAQ,179.92,127.88,334.64,894476,2.07,31.46,5.53,0.3882
GOOG,Alphabet,879994236775,1280.39,2004.0,Technology,"Computer Software: Programming, Data Processing",NASDAQ,1146.82,1013.54,1532.11,1920449,1.03,23.65,49.16,0.23600000000000002
AMZN,Amazon.com,941767754168,1891.82,1997.0,Consumer Services,Catalog/Specialty Distribution,NASDAQ,1963.95,1626.03,2185.95,5123626,1.54,84.73,23.01,0.2942
AAL,American Airlines Group,7242998648,17.0,,Transportation,Air Freight/Delivery Services,NASDAQ,12.25,10.01,35.24,43774254,1.9,3.22,3.79,0.439
AMGN,Amgen,121972050169,206.8,1983.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,208.48,166.3,244.99,2929128,1.13,15.74,12.88,0.2467
ADI,Analog Devices,37720466122,102.44,,Technology,Semiconductors,NASDAQ,90.97,79.08,127.3,2884709,1.28,27.58,3.25,0.2574
ANSS,ANSYS,19684701600,229.12,1996.0,Technology,Computer Software: Prepackaged Software,NASDAQ,235.13,174.25,299.06,945710,1.44,44.28,5.25,0.2314
AAPL,Apple,1248499463200,285.34,1980.0,Technology,Computer Manufacturing,NASDAQ,254.81,170.27,327.85,49250501,1.29,20.19,12.6,0.2535
AMAT,Applied Materials,51581198253,56.17,1972.0,Technology,Semiconductors,NASDAQ,47.3,36.64,69.44,10502321,1.45,15.2,3.02,0.3141
ASML,ASML Holding N.V.,119082558791,279.76,1995.0,Technology,Industrial Machinery/Components,NASDAQ,268.03,186.31,319.22,882245,1.03,37.6,6.96,0.2782
ADSK,Autodesk,36191028169,164.48,,Technology,Computer Software: Prepackaged Software,NASDAQ,155.91,125.38,211.58,3679702,1.63,162.6,0.96,0.32
ADP,Automatic Data Processing,66671491594,154.42,,Technology,EDP Services,NASDAQ,137.82,103.11,182.32,2699241,0.89,24.14,5.66,0.1989
BIDU,"Baidu, Inc. ADS",38701695413,111.91,2005.0,Technology,"Computer Software: Programming, Data Processing",NASDAQ,98.95,82.0,186.22,4091788,1.74,7.85,12.83,0.36
BIIB,Biogen,53199183682,305.63,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),NASDAQ,316.13,215.78,374.99,2869284,0.88,10.07,31.42,0.3862
BMRN,BioMarin Pharmaceutical,16070954771,89.32,1999.0,Health Care,Major Pharmaceuticals,NASDAQ,82.49,62.88,97.1,2378287,1.17,,-0.13,0.3641
BKNG,Booking Holdings,64015368026,1559.0,,Miscellaneous,Business Services,NASDAQ,1308.23,1107.29,2094.0,694979,0.94,12.03,111.82,0.2649
AVGO,Broadcom,105017662259,262.9,2009.0,Technology,Semiconductors,NASDAQ,240.11,155.67,331.58,5021531,0.87,39.22,6.05,0.3249
