date,close,volume,open,high,low
2010-06-29,23.89,18751150.0000,19.0,25.0,17.54
2010-06-30,23.83,17165210.0000,25.79,30.4192,23.3
2010-07-01,21.96,8216789.0000,25.0,25.92,20.27
2010-07-02,19.2,5135795.0000,23.0,23.1,18.71
2010-07-06,16.11,6858092.0000,20.0,20.0,15.83
2010-07-07,15.8,6910699.0000,16.4,16.63,14.98
2010-07-08,17.46,7710937.0000,16.14,17.52,15.57
2010-07-09,17.4,4048537.0000,17.58,17.9,16.55
2010-07-12,17.05,2198870.0000,17.95,18.07,17.0
2010-07-13,18.14,2675060.0000,17.394,18.64,16.9
2010-07-14,19.84,4193210.0000,17.94,20.15,17.7601
2010-07-15,19.89,3741526.0000,19.94,21.5,19.0
2010-07-16,20.64,2620110.0000,20.7,21.3,20.05
2010-07-19,21.91,2482680.0000,21.37,22.25,20.92
2010-07-20,20.3,1824154.0000,21.85,21.85,20.05
2010-07-21,20.22,1251492.0000,20.66,20.9,19.5
2010-07-22,21.0,957271.0000,20.5,21.25,20.37
2010-07-23,21.29,653549.0000,21.19,21.56,21.06
2010-07-26,20.95,922178.0000,21.5,21.5,20.3
2010-07-27,20.55,619675.0000,20.91,21.18,20.26
2010-07-28,20.72,467183.0000,20.55,20.9,20.51
2010-07-29,20.35,615910.0000,20.77,20.88,20.0
2010-07-30,19.94,426830.0000,20.2,20.44,19.55
2010-08-02,20.92,718245.0000,20.5,20.97,20.333
2010-08-03,21.95,1230349.0000,21.0,21.95,20.82
2010-08-04,21.26,912526.0000,21.95,22.18,20.85
2010-08-05,20.45,796180.0000,21.54,21.55,20.05
2010-08-06,19.59,741838.0000,20.1,20.1601,19.52
2010-08-09,19.6,812656.0000,19.9,19.98,19.45
2010-08-10,19.03,1281286.0000,19.65,19.65,18.82
2010-08-11,17.9,795712.0000,18.69,18.88,17.85
2010-08-12,17.6,690241.0000,17.8,17.9,17.39
2010-08-13,18.32,633871.0000,18.18,18.45,17.6604
2010-08-16,18.78,485711.0000,18.45,18.8,18.2616
2010-08-17,19.15,447881.0000,18.96,19.4,18.78
2010-08-18,18.77,599732.0000,19.59,19.59,18.6
2010-08-19,18.79,579082.0000,18.54,19.25,18.33
2010-08-20,19.1,295599.0000,18.65,19.11,18.5101
2010-08-23,20.13,1088029.0000,19.09,20.3891,19.0
2010-08-24,19.2,672974.0000,19.25,19.71,18.95
2010-08-25,19.9,503289.0000,19.16,19.98,18.56
2010-08-26,19.75,433286.0000,19.89,20.27,19.6
2010-08-27,19.7,379542.0000,19.75,19.865,19.5
2010-08-30,19.87,732631.0000,19.7,20.19,19.61
2010-08-31,19.48,201012.0000,19.66,19.79,19.33
2010-09-01,20.45,494885.0000,19.62,20.69,19.6
2010-09-02,21.06,487060.0000,20.37,21.24,20.3103
2010-09-03,21.05,434556.0000,20.87,21.3,20.66
2010-09-07,20.54,243335.0000,20.61,21.0,20.5
2010-09-08,20.9,288382.0000,20.66,20.95,20.6
2010-09-09,20.71,376197.0000,21.0,21.05,20.69
2010-09-10,20.17,386571.0000,20.75,20.93,19.76
2010-09-13,20.72,360703.0000,20.89,20.8995,20.5
2010-09-14,21.12,654629.0000,20.54,21.6,20.53
2010-09-15,21.98,684558.0000,20.98,22.0,20.79
2010-09-16,20.94,2684080.0000,22.15,23.16,20.84
2010-09-17,20.23,1198458.0000,21.02,21.32,19.8
2010-09-20,21.055,947475.0000,20.67,21.35,20.16
2010-09-21,20.77,796000.0000,20.89,21.55,20.67
2010-09-22,19.87,962816.0000,20.87,20.95,19.8
2010-09-23,19.56,668076.0000,19.89,20.14,19.5
