date,close,volume,open,high,low,year,weekday,change
2013-01-03,34.77,741941.0000,35.18,35.45,34.75,2013,3,-0.016685520361990846
2013-01-04,34.4,673993.0000,34.8,34.8,33.92,2013,4,-0.010641357492091013
2013-01-07,34.34,441909.0000,34.8,34.8,33.9,2013,0,-0.0017441860465114876
2013-01-08,33.68,1283743.0000,34.5,34.5,33.11,2013,1,-0.019219569015725208
2013-01-09,33.64,697979.0000,34.01,34.19,33.4,2013,2,-0.0011876484560569818
2013-01-10,33.53,922405.0000,33.87,33.99,33.38,2013,3,-0.0032699167657550365
2013-01-11,32.91,1562974.0000,34.04,34.04,32.11,2013,4,-0.01849090366835683
2013-01-14,33.26,925018.0000,33.08,33.38,32.85,2013,0,0.01063506532968707
2013-01-15,33.9,1623845.0000,33.11,34.25,33.08,2013,1,0.01924233313289238
2013-01-16,34.1,1378138.0000,33.85,34.23,33.73,2013,2,0.005899705014749347
2013-01-17,34.38,1436604.0000,34.16,34.85,33.92,2013,3,0.008211143695014696
2013-01-18,34.52,3555074.0000,34.74,34.78,33.82,2013,4,0.004072134962187335
2013-01-22,35.19,1920131.0000,34.56,35.55,34.26,2013,1,0.019409038238702044
2013-01-23,36.0,1563452.0000,35.02,36.24,34.96,2013,2,0.0230179028132993
2013-01-24,36.99,1970389.0000,36.0,37.72,35.84,2013,3,0.027500000000000056
2013-01-25,36.98,1287703.0000,37.0,37.54,36.8,2013,4,-0.000270343336036905
2013-01-28,38.03,1985892.0000,36.86,38.71,36.86,2013,0,0.028393726338561503
2013-01-29,37.95,1426503.0000,38.1,38.44,37.13,2013,1,-0.002103602419142737
2013-01-30,37.52,968098.0000,37.85,38.0,37.43,2013,2,-0.011330698287220019
2013-01-31,37.51,901318.0000,37.87,37.87,36.93,2013,3,-0.00026652452025599987
2013-02-01,38.3,1100390.0000,38.17,38.5,37.62,2013,4,0.02106105038656356
2013-02-04,37.74,1127989.0000,38.4,38.42,37.59,2013,0,-0.014621409921670893
2013-02-05,38.13,1310192.0000,38.0,38.65,37.68,2013,1,0.01033386327503976
2013-02-06,39.17,1892848.0000,38.18,39.39,37.9045,2013,2,0.027275111460792003
2013-02-07,39.48,1196521.0000,39.19,39.68,38.95,2013,3,0.007914220066377205
2013-02-08,39.24,1139533.0000,39.45,40.0,39.14,2013,4,-0.006079027355622971
2013-02-11,38.42,3265648.0000,37.98,39.15,37.5,2013,0,-0.020897043832823654
2013-02-12,37.89,2260409.0000,38.45,38.87,37.29,2013,1,-0.013794898490369628
2013-02-13,38.45,966802.0000,38.3,39.0,38.05,2013,2,0.014779625230931704
2013-02-14,38.3,990640.0000,38.64,38.75,38.21,2013,3,-0.003901170351105479
2013-02-15,37.04,2017449.0000,38.5,38.51,36.95,2013,4,-0.032898172323759745
2013-02-19,39.28,2700540.0000,37.36,39.29,37.31,2013,1,0.060475161987041094
2013-02-20,38.54,3078371.0000,39.3,39.65,38.46,2013,2,-0.018839103869653817
2013-02-21,35.16,9035810.0000,36.49,37.39,34.54,2013,3,-0.08770108977685528
2013-02-22,36.11,2545223.0000,35.72,36.39,35.6,2013,4,0.027019340159271984
2013-02-25,34.38,2889237.0000,36.15,36.75,34.34,2013,0,-0.04790916643589025
2013-02-26,34.43,2762900.0000,34.46,34.96,33.8,2013,1,0.0014543339150668165
2013-02-27,35.1,1959129.0000,34.41,35.41,34.4,2013,2,0.019459773453383726
2013-02-28,34.83,1964893.0000,35.89,36.1,34.37,2013,3,-0.007692307692307781
2013-03-01,34.65,1546400.0000,35.0,35.08,34.25,2013,4,-0.005167958656330742
2013-03-04,35.58,1757660.0000,34.77,35.83,34.7,2013,0,0.026839826839826834
2013-03-05,36.65,2086969.0000,36.0,36.92,35.79,2013,1,0.030073074761101753
2013-03-06,37.69,1149925.0000,37.01,37.88,36.97,2013,2,0.028376534788540225
2013-03-07,38.23,1158254.0000,37.73,38.65,36.88,2013,3,0.014327407800477558
2013-03-08,38.47,912052.0000,38.06,39.44,37.36,2013,4,0.006277792309704473
2013-03-11,39.1,1579440.0000,38.87,39.44,38.65,2013,0,0.01637639719261769
2013-03-12,39.12,1274426.0000,38.9,39.38,38.85,2013,1,0.0005115089514065479
2013-03-13,38.98,821986.0000,39.0,39.49,38.81,2013,2,-0.003578732106339483
2013-03-14,36.85,2020811.0000,38.9,38.91,36.77,2013,3,-0.054643406875320565
2013-03-15,35.29,3279577.0000,36.64,36.65,35.21,2013,4,-0.04233378561736777
2013-03-18,35.15,1316036.0000,35.3,36.06,34.92,2013,0,-0.003967129498441501
2013-03-19,35.08,1083765.0000,35.25,35.6,34.94,2013,1,-0.0019914651493598942
2013-03-20,35.95,1422984.0000,35.26,36.07,35.16,2013,2,0.024800456100342205
2013-03-21,36.01,1146287.0000,35.95,37.06,35.74,2013,3,0.00166898470097344
2013-03-22,36.62,442535.0000,36.2,36.8,36.2,2013,4,0.016939738961399595
2013-03-25,37.53,2375218.0000,37.1,38.52,36.77,2013,0,0.02484980884762435
2013-03-26,37.86,1805587.0000,37.98,38.22,37.66,2013,1,0.008792965627497956
2013-03-27,38.16,1296283.0000,37.94,38.38,37.31,2013,2,0.007923930269413555
2013-03-28,37.89,1158652.0000,38.23,38.24,37.75,2013,3,-0.007075471698113104
2013-04-01,43.93,14088400.0000,42.36,46.68,41.7,2013,0,0.1594088149907627
2013-04-02,44.34,6600998.0000,43.6,45.5,43.5101,2013,1,0.009333029820168533
2013-04-03,41.1,5643205.0000,43.1,43.47,40.2105,2013,2,-0.07307171853856567
2013-04-04,42.01,2264742.0000,41.11,42.25,40.811,2013,3,0.02214111922141111
2013-04-05,41.37,1552097.0000,42.0,42.0,40.5,2013,4,-0.015234467983813392
2013-04-08,41.83,1679001.0000,41.97,42.5499,41.51,2013,0,0.011119168479574592
2013-04-09,40.5,1696036.0000,41.8,41.8299,40.33,2013,1,-0.03179536218025337
2013-04-10,41.86,2121088.0000,40.7,42.01,40.61,2013,2,0.03358024691358023
2013-04-11,43.59,3446342.0000,42.06,44.55,41.75,2013,3,0.041328236980410986
2013-04-12,43.75,3149372.0000,43.25,45.139,43.05,2013,4,0.0036705666437255465
2013-04-15,43.3,1677780.0000,43.5,43.8,42.51,2013,0,-0.010285714285714351
2013-04-16,45.59,3180338.0000,44.19,46.14,43.91,2013,1,0.052886836027713775
2013-04-17,45.45,2118428.0000,45.5,45.95,44.54,2013,2,-0.003070848870366321
2013-04-18,46.97,3367887.0000,45.98,47.599,45.3901,2013,3,0.033443344334433356
2013-04-19,47.83,3011536.0000,47.46,49.88,47.07,2013,4,0.01830955929316584
2013-04-22,50.19,3939327.0000,48.6,50.2,47.75,2013,0,0.049341417520384685
2013-04-23,51.01,3733250.0000,51.0,52.92,50.66,2013,1,0.016337915919505883
2013-04-24,50.43,2629908.0000,50.9,51.05,48.98,2013,2,-0.011370319545187186
2013-04-25,52.0,2795635.0000,50.5,52.4,50.5,2013,3,0.031132262542137624
2013-04-26,51.2,3620350.0000,53.13,53.74,50.62,2013,4,-0.01538461538461533
2013-04-29,54.94,3638381.0000,51.76,54.99,51.2,2013,0,0.0730468749999999
