date,close,volume,open,high,low,year,weekday,change
2017-01-03,216.99,5901494.0000,214.86,220.33,210.96,2017,1,0.015442931349150693
2017-01-04,226.99,11204560.0000,214.75,228.0,214.31,2017,2,0.046085073044840774
2017-01-05,226.75,5908927.0000,226.42,227.48,221.95,2017,3,-0.0010573153002335304
2017-01-06,229.01,5524153.0000,226.93,230.31,225.45,2017,4,0.009966923925027524
2017-01-09,231.28,3972716.0000,228.97,231.92,228.0,2017,0,0.00991223090694734
2017-01-10,229.87,3658981.0000,232.0,232.0,226.89,2017,1,-0.006096506399169823
2017-01-11,229.73,3649910.0000,229.07,229.98,226.68,2017,2,-0.0006090398921129976
2017-01-12,229.59,3787547.0000,229.06,230.7,225.58,2017,3,-0.0006094110477516491
2017-01-13,237.75,6085610.0000,230.0,237.85,229.59,2017,4,0.03554161766627465
2017-01-17,235.58,4614731.0000,236.7,239.96,234.37,2017,1,-0.009127234490010462
2017-01-18,238.36,3767272.0000,236.65,239.71,235.58,2017,2,0.011800662195432554
2017-01-19,243.76,7717244.0000,247.25,248.68,240.75,2017,3,0.022654807853666626
2017-01-20,244.73,4199720.0000,245.46,246.0,243.01,2017,4,0.003979323925172296
2017-01-23,248.92,6262097.0000,245.85,250.8899,245.5,2017,0,0.017120908756588886
2017-01-24,254.61,4958144.0000,250.0,254.8,249.65,2017,1,0.02285874979913236
2017-01-25,254.47,5145301.0000,257.31,258.46,251.8,2017,2,-0.0005498605710695368
2017-01-26,252.51,3143717.0000,254.29,255.74,250.75,2017,3,-0.007702283176798868
2017-01-27,252.95,3161774.0000,251.38,253.0,248.52,2017,4,0.001742505247316929
2017-01-30,250.63,3798638.0000,252.53,255.2899,247.1,2017,0,-0.00917177307768331
2017-01-31,251.93,4112013.0000,249.24,255.89,247.7,2017,1,0.0051869289390735806
2017-02-01,249.24,3953105.0000,253.05,253.2,249.05,2017,2,-0.010677569166038176
2017-02-02,251.55,2498799.0000,248.34,252.42,247.71,2017,3,0.009268175252768424
2017-02-03,251.33,2185230.0000,251.91,252.179,249.68,2017,4,-0.0008745776187636607
2017-02-06,257.77,3557600.0000,251.0,257.82,250.63,2017,0,0.025623682011697645
2017-02-07,257.48,4244063.0000,258.19,260.0,256.42,2017,1,-0.0011250339449895785
2017-02-08,262.08,3912428.0000,257.35,263.36,256.2,2017,2,0.017865465278856477
2017-02-09,269.2,7812600.0000,266.25,271.18,266.15,2017,3,0.027167277167277185
2017-02-10,269.23,3618336.0000,269.79,270.95,266.11,2017,4,0.00011144130757811871
2017-02-13,280.6,7023072.0000,270.74,280.7899,270.51,2017,0,0.04223154923299782
2017-02-14,280.98,7341450.0000,279.03,287.39,278.61,2017,1,0.0013542409123307037
2017-02-15,279.76,4943879.0000,280.0,282.24,276.44,2017,2,-0.004341946045982017
2017-02-16,268.95,7063860.0000,277.6,280.0,268.5,2017,3,-0.038640263082642276
2017-02-17,272.23,6251469.0000,265.8,272.89,264.15,2017,4,0.012195575385759546
2017-02-21,277.39,5647575.0000,275.45,281.4,274.01,2017,1,0.018954560481945295
2017-02-22,273.51,8537811.0000,280.31,283.45,272.6,2017,2,-0.013987526587115598
2017-02-23,255.99,14877090.0000,264.0,264.66,255.56,2017,3,-0.06405615882417455
2017-02-24,257.0,8166869.0000,252.66,258.25,250.2,2017,4,0.0039454666197898
2017-02-27,246.23,11450160.0000,248.17,248.36,242.01,2017,0,-0.04190661478599226
2017-02-28,249.99,6073890.0000,244.19,251.0,243.9,2017,1,0.015270275758437313
2017-03-01,250.02,4804963.0000,254.18,254.85,249.11,2017,2,0.00012000480019201222
2017-03-02,250.48,3345751.0000,249.71,253.28,248.27,2017,3,0.0018398528117749761
2017-03-03,251.57,2925481.0000,250.74,251.9,249.0,2017,4,0.004351644841903559
2017-03-06,251.21,3353601.0000,247.91,251.7,247.51,2017,0,-0.0014310132368723825
2017-03-07,248.59,3452587.0000,251.92,253.89,248.32,2017,1,-0.010429521117789914
2017-03-08,246.87,3726746.0000,247.0,250.07,245.32,2017,2,-0.006919023291363284
2017-03-09,244.9,3876494.0000,247.63,248.66,243.0,2017,3,-0.007979908453842098
2017-03-10,243.69,3062785.0000,246.21,246.5,243.0,2017,4,-0.004940792160065365
2017-03-13,246.17,3011280.0000,244.82,246.85,242.781,2017,0,0.010176864048586276
2017-03-14,258.0,7581719.0000,246.11,258.12,246.02,2017,1,0.04805622131047655
2017-03-15,255.73,5233365.0000,257.0,261.0,254.27,2017,2,-0.00879844961240314
2017-03-16,262.05,7127180.0000,262.4,265.75,259.06,2017,3,0.024713565088179023
2017-03-17,261.5,6491018.0000,264.0,265.33,261.2,2017,4,-0.002098836099980963
2017-03-20,261.92,3601616.0000,260.6,264.55,258.821,2017,0,0.0016061185468451851
2017-03-21,250.68,6901555.0000,262.83,264.8,250.24,2017,1,-0.04291386682956631
2017-03-22,255.01,4056735.0000,251.56,255.07,250.51,2017,2,0.017273017392691815
2017-03-23,254.78,3309844.0000,255.39,257.672,253.3,2017,3,-0.0009019254146895799
2017-03-24,263.16,5637668.0000,255.7,263.89,255.01,2017,4,0.03289112175209995
2017-03-27,270.22,6221361.0000,260.6,270.57,259.75,2017,0,0.026827785377716986
2017-03-28,277.45,7978665.0000,277.02,280.68,275.0,2017,1,0.02675597661164962
2017-03-29,277.38,3672526.0000,278.34,279.6,275.54,2017,2,-0.00025229771129930864
2017-03-30,277.92,4141437.0000,278.04,282.0,277.21,2017,3,0.0019467878001298597
2017-03-31,278.3,3293698.0000,278.73,279.68,276.3197,2017,4,0.0013672999424294598
2017-04-03,298.52,13864850.0000,286.9,299.0,284.58,2017,0,0.07265540783327333
2017-04-04,303.7,10108230.0000,296.89,304.81,294.53,2017,1,0.01735227120460943
2017-04-05,295.0,7858565.0000,302.04,304.88,294.2,2017,2,-0.028646690813302567
2017-04-06,298.7,5517731.0000,296.88,301.94,294.1,2017,3,0.012542372881355894
2017-04-07,302.54,4566632.0000,297.5,302.69,297.15,2017,4,0.012855708068296057
2017-04-10,312.39,7653623.0000,309.15,313.7299,308.71,2017,0,0.03255767832352735
2017-04-11,308.71,5718053.0000,313.38,313.47,305.5,2017,1,-0.011780146611607308
2017-04-12,296.84,6043648.0000,306.34,308.4481,296.32,2017,2,-0.03845032554824918
2017-04-13,304.0,9275682.0000,296.7,307.39,295.3,2017,3,0.024120738444953597
2017-04-17,301.44,4128067.0000,302.7,304.0,298.68,2017,0,-0.008421052631578954
2017-04-18,300.25,3034225.0000,299.7,300.8399,297.9,2017,1,-0.003947717622080672
2017-04-19,305.52,3891145.0000,302.46,306.62,302.11,2017,2,0.017552039966694362
2017-04-20,302.51,6145961.0000,306.51,309.15,300.23,2017,3,-0.009852055511914084
2017-04-21,305.6,4501958.0000,302.0,306.4,300.42,2017,4,0.010214538362368292
2017-04-24,308.03,5077771.0000,309.22,310.55,306.0215,2017,0,0.007951570680628108
2017-04-25,313.79,6734162.0000,308.0,313.98,305.86,2017,1,0.018699477323637463
2017-04-26,310.17,4683131.0000,312.37,314.5,309.0,2017,2,-0.011536377832308245
