date,close,volume,open,high,low,year,weekday,change,nChange
2013-01-14,33.26,925018.0000,33.08,33.38,32.85,2013,0,-0.031450203843913956,0.29978972395959624
2013-01-28,38.03,1985892.0000,36.86,38.71,36.86,2013,0,0.1434155141310885,0.5412558881901889
2013-02-04,37.74,1127989.0000,38.4,38.42,37.59,2013,0,-0.007625558769392562,0.3326883717158268
2013-02-11,38.42,3265648.0000,37.98,39.15,37.5,2013,0,0.01801801801801801,0.3680987208438009
2013-02-25,34.38,2889237.0000,36.15,36.75,34.34,2013,0,-0.10515356585111918,0.19801524053956562
2013-03-04,35.58,1757660.0000,34.77,35.83,34.7,2013,0,0.03490401396160546,0.3914160223533758
2013-03-11,39.1,1579440.0000,38.87,39.44,38.65,2013,0,0.09893198426082078,0.4798300841298068
2013-03-18,35.15,1316036.0000,35.3,36.06,34.92,2013,0,-0.10102301790281337,0.20371897470082945
2013-03-25,37.53,2375218.0000,37.1,38.52,36.77,2013,0,0.0677098150782362,0.43671644516853797
2013-04-01,43.93,14088400.0000,42.36,46.68,41.7,2013,0,0.17053024247268847,0.5786977008142999
2013-04-08,41.83,1679001.0000,41.97,42.5499,41.51,2013,0,-0.04780332346915551,0.2772082533612507
2013-04-15,43.3,1677780.0000,43.5,43.8,42.51,2013,0,0.03514224240975374,0.39174498397175994
2013-04-22,50.19,3939327.0000,48.6,50.2,47.75,2013,0,0.1591224018475751,0.5629449989708555
2013-04-29,54.94,3638381.0000,51.76,54.99,51.2,2013,0,0.0946403666068938,0.4739039342518405
2013-05-06,59.5,4365030.0000,56.39,59.66,55.5,2013,0,0.08299963596650896,0.4578296424516772
2013-05-13,87.8,22343570.0000,80.99,88.0,79.151,2013,0,0.4756302521008403,1.0
2013-05-20,89.94,8326361.0000,91.12,92.5,88.63,2013,0,0.024373576309794996,0.376874896643329
2013-06-03,92.59,19134000.0000,97.62,97.62,88.25,2013,0,0.029464087169223992,0.38390421116783874
2013-06-10,100.05,9207140.0000,98.93,102.52,98.57,2013,0,0.080570255967167,0.45447499365777533
2013-06-17,102.2,7063642.0000,103.6,104.75,101.2,2013,0,0.0214892553723139,0.37289203527262227
2013-06-24,101.49,7115222.0000,96.5,102.87,95.3,2013,0,-0.006947162426614559,0.33362514631416224
2013-07-01,117.179,10882830.0000,109.36,117.77,109.15,2013,0,0.15458665878411673,0.5566817445596887
2013-07-08,121.61,7804363.0000,121.37,122.1799,118.82,2013,0,0.03781394277131565,0.39543424476999184
2013-07-15,127.26,9914409.0000,133.03,133.259,126.82,2013,0,0.04645999506619526,0.40737328638179665
2013-07-22,122.43,9797193.0000,119.89,126.68,119.88,2013,0,-0.03795379537953794,0.2908091340531506
2013-07-29,134.62,9678085.0000,129.32,135.37,128.25,2013,0,0.09956709956709954,0.4807070934065662
2013-08-05,144.68,10170820.0000,140.01,144.89,139.65,2013,0,0.07472886643886496,0.44640881613876343
2013-08-12,147.38,14885790.0000,149.43,150.5,142.05,2013,0,0.018661874481614518,0.3689878004894862
2013-08-19,144.9,8021902.0000,143.427,147.38,142.83,2013,0,-0.01682724928755591,0.3199820680469994
2013-08-26,164.22,24071200.0000,165.15,173.0,160.25,2013,0,0.13333333333333328,0.5273337452309765
2013-09-09,160.7,14311250.0000,163.12,164.5,158.51,2013,0,-0.021434660820850143,0.31361984906628765
2013-09-16,166.58,7579727.0000,168.0,170.85,165.85,2013,0,0.0365899191039205,0.3937440318265055
2013-09-23,181.11,8172719.0000,184.48,185.48,177.11,2013,0,0.08722535718573658,0.46366479816848033
