date,close,volume,open,high,low,year,weekday,change,nChange
2014-01-13,139.34,6314832.0,145.78,147.0,137.82,2014,0,-0.05210884353741494,0.421677618360494
2014-01-27,169.62,8714715.0,175.16,177.92,164.71,2014,0,0.21731017654657672,1.0
2014-02-03,177.11,6764261.0,182.89,184.8797,175.16,2014,0,0.04415752859332631,0.6283185510796804
2014-02-10,196.56,12963450.0,189.34,199.3,189.32,2014,0,0.10981875670487261,0.7692639001163077
2014-02-24,217.65,8286273.0,208.76,218.36,208.32,2014,0,0.10729548229548232,0.7638475562163348
2014-03-03,250.56,13083260.0,237.26,251.65,234.99,2014,0,0.15120606478290832,0.8581039774422358
2014-03-10,238.84,7725236.0,242.7,243.0,236.06,2014,0,-0.046775223499361425,0.4331265199347247
2014-03-17,233.98,5898403.0,234.95,237.93,230.5,2014,0,-0.020348350360073746,0.4898532209984928
2014-03-24,220.17,11327430.0,229.75,229.9,210.27,2014,0,-0.059022138644328585,0.40683785949729034
2014-03-31,208.45,8367389.0,216.5,216.75,206.39,2014,0,-0.05323159376845165,0.4192675747511117
2014-04-07,207.52,9828543.0,205.81,216.2,203.51,2014,0,-0.004461501559126785,0.5239551943203693
2014-04-14,198.09,7685123.0,207.6,208.44,194.41,2014,0,-0.045441403238242126,0.43598963668813373
2014-04-21,204.38,5253883.0,197.08,206.2,194.0,2014,0,0.03175324347518801,0.6016920875515269
2014-04-28,198.51,7033657.0,200.0,203.7899,190.5,2014,0,-0.028721009883550273,0.47188085811645086
2014-05-05,216.61,5141376.0,209.48,217.69,208.52,2014,0,0.09117928567830348,0.7292532755018114
2014-05-12,184.67,6993022.0,183.87,187.19,179.88,2014,0,-0.1474539494944833,0.2170142329114162
2014-05-19,196.09,4561228.0,190.72,196.89,190.0,2014,0,0.061840038988466,0.6662750083553934
2014-06-02,204.7,4652328.0,207.33,209.35,201.67,2014,0,0.0439084094038451,0.6277838033735683
2014-06-09,205.31,2797244.0,207.95,209.99,204.2,2014,0,0.002979970688812964,0.5399287137548588
2014-06-16,224.61,13179430.0,206.76,225.49,206.26,2014,0,0.09400418878768697,0.7353170815894818
2014-06-23,237.22,7786840.0,229.51,238.99,228.22,2014,0,0.05614175682293747,0.6540433399594686
2014-06-30,240.06,4827429.0,239.55,244.49,239.0,2014,0,0.011972009105471729,0.5592306066624007
2014-07-07,222.66,5890031.0,227.5,229.78,220.4,2014,0,-0.07248187953011749,0.37794580353593554
2014-07-14,226.7,7197985.0,219.99,228.79,215.4502,2014,0,0.01814425581604236,0.5724796653836853
2014-07-21,220.54,3820853.0,217.25,223.21,216.72,2014,0,-0.027172474636082914,0.47520487210807205
2014-07-28,224.82,6500081.0,224.25,232.0,221.40200000000002,2014,0,0.01940691031105469,0.575190021001918
2014-08-04,238.52,5958085.0,234.38,240.5,233.27,2014,0,0.060937639000089035,0.6643379583642423
2014-08-11,259.32,8062178.0,255.48,263.74,255.0,2014,0,0.0872044273016937,0.7207210287349571
2014-08-18,259.94,5830865.0,263.25,267.26,259.75,2014,0,0.0023908684251118485,0.5386641741389601
2014-08-25,262.55,4304272.0,258.19,263.68,258.19,2014,0,0.01004077864122495,0.5550851168553714
2014-09-08,282.11,5495160.0,277.62,284.88,277.5227,2014,0,0.07450009521995811,0.6934504983011444
2014-09-15,253.86,16433840.0,274.37,274.4,249.13,2014,0,-0.1001382439473964,0.3185799334785632
2014-09-22,250.03,8209186.0,255.0,256.02,244.71,2014,0,-0.015087055857559333,0.5011468719302362
2014-09-29,245.26,4851868.0,244.0,248.64,241.38,2014,0,-0.019077710674719073,0.4925807172562213
2014-10-06,260.62,7706193.0,259.13,262.49,257.8,2014,0,0.06262741580363701,0.6679651549339664
2014-10-13,224.59,11251400.0,238.57,238.9628,221.0,2014,0,-0.13824725654209194,0.23677689329668045
2014-10-20,230.47,3489785.0,226.72,232.4,225.51,2014,0,0.02618104100805911,0.5897310559927199
2014-10-27,221.67,9532988.0,234.25,234.61,220.31,2014,0,-0.03818284375406782,0.4515705240614567
2014-11-03,242.59,4203208.0,243.0,247.56,241.32,2014,0,0.09437452068389957,0.7361120188739689
2014-11-10,241.93,4563814.0,239.11,242.88,236.8,2014,0,-0.002720639762562334,0.5276920475684455
2014-11-17,253.98,4017356.0,257.49,259.0,252.02,2014,0,0.04980779564336785,0.6404471524540768
2014-11-24,246.72,4780202.0,245.2,247.6,240.64,2014,0,-0.028584927947082412,0.472172965294228
2014-12-01,231.64,8603799.0,241.16,242.47,229.01,2014,0,-0.06112191958495466,0.40233056704954284
2014-12-08,214.36,9217376.0,221.54,224.86,212.34,2014,0,-0.07459851493697105,0.37340233207214485
2014-12-15,204.04,5195647.0,209.29,209.8,202.67,2014,0,-0.04814331031908948,0.4301898481747721
2014-12-22,222.6,4802547.0,220.0,224.06,218.26,2014,0,0.09096255636149776,0.728788054395198
2014-12-29,225.71,2802982.0,226.9,227.91,224.02,2014,0,0.013971248876909316,0.5635220820961905
2015-01-05,210.09,5355485.0,214.55,216.5,207.1626,2015,0,-0.0692038456426388,0.38498227915042876
2015-01-12,202.21,5945607.0,203.05,204.47,199.25,2015,0,-0.037507734780332216,0.4530196816949277
2015-01-26,206.55,3231121.0,201.83,208.62,201.05,2015,0,0.02146283566589191,0.5796031750818038
2015-02-02,210.94,4143850.0,203.97,211.9499,203.3,2015,0,0.021253933672234257,0.5791547557442839
2015-02-09,217.48,3469776.0,215.38,217.93,211.99,2015,0,0.031004076988717134,0.6000839614935922
2015-02-23,207.335,8487131.0,215.66,218.2,206.33,2015,0,-0.0466479676292072,0.4333996814876182
2015-03-02,197.325,7910402.0,202.7,203.34,195.825,2015,0,-0.048279354667567075,0.42989782168163276
2015-03-09,190.88,6732511.0,194.39,194.49,188.25,2015,0,-0.03266185227416695,0.4634216284885766
2015-03-16,195.7,5617028.0,192.0,195.91,189.8,2015,0,0.025251466890192757,0.5877356752746573
2015-03-23,199.63,2622492.0,198.5,200.5,197.47,2015,0,0.020081757792539637,0.5766386173282431
2015-03-30,190.57,10062310.0,185.85,192.25,181.8,2015,0,-0.04538396032660423,0.4361129409799257
2015-04-06,203.1,12422770.0,198.0,207.75,197.5,2015,0,0.06575011806685209,0.6746682028830333
2015-04-13,209.78,3757220.0,210.435,213.0,209.05,2015,0,0.032890201870999544,0.6041326297489034
2015-04-20,205.27,2558913.0,206.78,207.85,203.85,2015,0,-0.02149871293736291,0.48738390600640563
2015-04-27,231.55,11659100.0,222.56,238.75,222.0,2015,0,0.1280265016807132,0.8083478015996929
2015-05-04,230.51,4427259.0,228.18,234.73,227.11,2015,0,-0.00449147052472477,0.5238908643278004
2015-05-11,239.49,5663800.0,236.29,242.88,235.31,2015,0,0.0389570951368705,0.6171555416486547
2015-05-18,248.75,3349931.0,247.0,249.9,246.0,2015,0,0.03866549751555384,0.6165296117095298
2015-06-01,249.45,2502238.0,251.41,251.6,247.47,2015,0,0.002814070351758748,0.5395725997803886
2015-06-08,256.29,5006944.0,250.85,258.75,250.31,2015,0,0.027420324714371745,0.592391244959105
2015-06-15,250.38,2182932.0,249.7,251.28,246.01,2015,0,-0.023059815053260074,0.48403291655745484
2015-06-22,259.79,4559072.0,262.15,264.4,255.69,2015,0,0.037582874031472265,0.6142057023153907
2015-06-29,262.02,3471452.0,261.95,265.95,260.7,2015,0,0.00858385619153917,0.5519577546494527
2015-07-06,279.72,4109259.0,278.88,281.69,276.3,2015,0,0.06755209525990401,0.6785362436086694
2015-07-13,262.16,2951397.0,262.25,262.55,256.05,2015,0,-0.06277706277706278,0.39877771338495754
2015-07-20,282.26,4969754.0,275.0,286.65,272.54,2015,0,0.07667073542874567,0.698109893969784
2015-07-27,253.01,4688874.0,262.43,264.4321,250.79,2015,0,-0.10362786083752569,0.3110892835969036
2015-08-03,259.99,2547164.0,266.29,266.7099,257.07,2015,0,0.027587842377771704,0.5927508306113503
2015-08-10,241.14,4179307.0,238.15,242.97,236.05,2015,0,-0.0725027885687912,0.37790092116259827
2015-08-17,254.99,7168396.0,255.56,256.59,250.51,2015,0,0.05743551463879914,0.6568204605246781
2015-08-24,218.87,9562484.0,202.79,231.4,195.0,2015,0,-0.14165261382799327,0.2294671111762424
2015-08-31,249.06,4688373.0,245.62,254.95,245.51,2015,0,0.13793576095399093,0.8296185582872451
2015-09-14,253.19,2885610.0,251.1,254.25,249.67,2015,0,0.016582349634626178,0.5691269499649578
2015-09-21,264.2,6114615.0,263.98,271.57,255.8,2015,0,0.04348512974446064,0.626875210874648
2015-09-28,248.43,4893113.0,257.35,259.79,246.61,2015,0,-0.05968962906888714,0.4054050554883829
2015-10-05,246.15,3684490.0,248.84,249.84,244.13,2015,0,-0.009177635551261928,0.5138317596734302
2015-10-12,215.58,3816171.0,222.99,223.0,215.27,2015,0,-0.12419256550883605,0.2669460416701917
2015-10-19,228.1,2506836.0,226.5,231.15,224.94,2015,0,0.05807588830132657,0.6581950569490012
2015-10-26,215.26,3388227.0,211.38,215.88,210.0,2015,0,-0.0562911003945638,0.41270017962769606
2015-11-02,213.79,3924514.0,208.92,215.8,207.22,2015,0,-0.006828951035956513,0.5188733369985493
2015-11-09,225.33,3846179.0,232.99,232.99,224.31,2015,0,0.05397820290939717,0.6493991554037754
2015-11-16,214.31,2920362.0,206.09,214.98,205.8,2015,0,-0.04890604890604895,0.4285525888749601
2015-11-23,217.75,2525196.0,217.35,219.18,214.6798,2015,0,0.016051514161728328,0.5679874831416827
2015-11-30,230.26,2591205.0,231.79,234.28,229.08,2015,0,0.05745120551090696,0.6568541418235135
2015-12-07,231.13,3140864.0,227.7,235.63,226.15,2015,0,0.003778337531486166,0.5416424510171087
2015-12-14,218.58,2827797.0,217.51,220.92,214.87,2015,0,-0.05429844676156268,0.4169775175619687
2015-12-21,232.56,1951581.0,231.69,235.83,231.08,2015,0,0.06395827614603344,0.6708219180630295
2015-12-28,228.95,1900171.0,231.49,231.98,225.54,2015,0,-0.015522875816993523,0.5002113610044395
