id,value,type
allPopulation.-2000,1,-2000
allPopulation.-1000,1,-1000
allPopulation.-1000,1,-1000
allPopulation.-500,1,-500
allPopulation.-500,1,-500
allPopulation.-500,1,-500
allPopulation.-500,1,-500
allPopulation.-500,1,-500
allPopulation.1,1,1
allPopulation.1,1,1
allPopulation.1,1,1
allPopulation.1,1,1
allPopulation.1,1,1
allPopulation.1,1,1
allPopulation.1,1,1
allPopulation.1,1,1
allPopulation.1,1,1
allPopulation.1,1,1
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1000,1,1000
allPopulation.1500,1,1500
allPopulation.1500,1,1500
allPopulation.1500,1,1500
allPopulation.1500,1,1500
allPopulation.1500,1,1500
allPopulation.1600,1,1600
allPopulation.1600,1,1600
allPopulation.1600,1,1600
allPopulation.1600,1,1600
allPopulation.1600,1,1600
allPopulation.1600,1,1600
allPopulation.1600,1,1600
allPopulation.1600,1,1600
allPopulation.1600,1,1600
allPopulation.1600,1,1600
allPopulation.1600,1,1600
allPopulation.1600,1,1600
allPopulation.1700,1,1700
allPopulation.1700,1,1700
allPopulation.1700,1,1700
allPopulation.1700,1,1700
allPopulation.1700,1,1700
allPopulation.1700,1,1700
allPopulation.1700,1,1700
allPopulation.1700,1,1700
allPopulation.1700,1,1700
allPopulation.1700,1,1700
allPopulation.1750,1,1750
allPopulation.1750,1,1750
allPopulation.1750,1,1750
allPopulation.1750,1,1750
allPopulation.1750,1,1750
allPopulation.1750,1,1750
allPopulation.1750,1,1750
allPopulation.1750,1,1750
allPopulation.1750,1,1750
allPopulation.1750,1,1750
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1800,1,1800
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1850,1,1850
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1900,1,1900
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1950,1,1950
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1955,1,1955
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1960,1,1960
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1965,1,1965
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1970,1,1970
allPopulation.1975,1,1975
allPopulation.1975,1,1975
allPopulation.1975,1,1975
allPopulation.1975,1,1975
allPopulation.1975,1,1975
allPopulation.1975,1,1975
allPopulation.1975,1,1975
allPopulation.1975,1,1975
allPopulation.1975,1,1975
allPopulation.1975,1,1975
allPopulation.1975,1,1975
allPopulation.1975,1,1975
allPopulation.1975,1,1975
