,Year,World
,-10000,4
,-8000,5
,-6500,5
,-5000,5
,-4000,7
,-3000,14
,-2000,27
,-1000,50
,-500,100
,1,200
,1000,400
,1500,458
,1600,580
,1700,682
,1750,791
,1800,1000
,1850,1262
,1900,1650
,1950,2525
,1955,2758
,1960,3018
,1965,3322
,1970,3682
,1975,4061
,1980,4440
,1985,4853
,1990,5310
,1995,5735
,2000,6127
,2005,6520
,2010,6930
,2015,7349
,2020,7717
,2025,8083
,2030,8425
,2035,8743
,2040,9039
,2045,9308
,2050,9551
,2055,9766
,2060,9957
,2065,10127
,2070,10277
,2075,10409
,2080,10524
,2085,10626
,2090,10717
,2095,10794
,2100,10854
